,amp,detune,g2
0,0.04457403475811563,35.5,0.019872009882457495
1,0.05001288958130289,35.5,0.022814249103939498
2,0.05611538506318824,35.5,0.026490688837163316
3,0.06296249761115796,35.5,0.031075775176477288
4,0.07064508424866252,35.5,0.0367804444859545
5,0.0792650882327163,35.5,0.04385694988992146
6,0.0889368917789811,35.5,0.05260265301963333
7,0.09978883384427338,35.5,0.06336154727334758
8,0.11196491310654706,35.5,0.07652170010281052
9,0.1256266987398616,35.5,0.09250614444942837
10,0.1409554743391579,35.5,0.11175415967047657
11,0.15815464344342203,35.5,0.13468966414544098
12,0.17745242857706656,35.5,0.1616741074954081
13,0.19910489962416977,35.5,0.19294349826109058
14,0.2233993717202586,35.5,0.2285337129339667
15,0.25065821774959424,35.5,0.26820515634814496
16,0.28124314603748474,35.5,0.3113859874709816
17,0.31556000000000006,35.5,0.3571591838465905
18,0.3540641434395276,35.5,0.40431747231836446
19,0.39726650294576743,35.5,0.4514967250943059
20,0.4457403475811563,35.5,0.497372606162386
21,0.500128895813029,35.5,0.5408753379532768
22,0.5611538506318826,35.5,0.5813588882117477
23,0.6296249761115797,35.5,0.6186675993452196
24,0.7064508424866255,35.5,0.6530767612144671
25,0.792650882327163,35.5,0.6851293956430372
26,0.8893689177898111,35.5,0.7154277212162766
27,0.9978883384427338,35.5,0.7444486184038414
28,1.1196491310654706,35.5,0.7724356075378404
29,1.2562669873986165,35.5,0.7993850072471226
30,1.4095547433915794,35.5,0.825107528546712
31,1.58154643443422,35.5,0.8493265575347005
32,1.7745242857706662,35.5,0.871781001345168
33,1.9910489962416975,35.5,0.8923233256985205
34,2.2339937172025865,35.5,0.9110138385520459
35,2.506582177495943,35.5,0.9281951426000741
36,2.812431460374847,35.5,0.944501602792333
37,3.1556000000000015,35.5,0.9607437418476804
38,3.5406414343952757,35.5,0.9776433564758794
39,3.9726650294576764,35.5,0.9955028449173394
40,4.457403475811564,35.5,1.0139978568068886
41,5.001288958130294,35.5,1.0322670735975634
42,5.611538506318826,35.5,1.0492693693959707
43,6.296249761115796,35.5,1.064163275519127
44,7.064508424866253,35.5,1.076502790147272
