,g2,detuning,power
146,0.0,30260000.0,-16.0
147,0.0,30260000.0,-15.0
148,0.0,30260000.0,-14.0
149,0.0,30260000.0,-13.0
150,0.0,30260000.0,-12.0
151,0.0,30260000.0,-11.0
152,0.0,30260000.0,-10.0
153,0.0,30260000.0,-9.0
154,0.0,30260000.0,-8.0
155,0.0,30260000.0,-7.0
156,0.0,30260000.0,-6.0
157,0.31456933720721997,30260000.0,-5.0
158,0.0,30260000.0,-4.0
159,0.38226205194778784,30260000.0,-3.0
160,0.5598131850494799,30260000.0,-2.0
161,0.5622687766819953,30260000.0,-1.0
162,0.5663876832104455,30260000.0,0.0
163,0.7151145944656763,30260000.0,1.0
164,0.782757218701364,30260000.0,2.0
165,0.8468535245513354,30260000.0,3.0
166,0.8558407983865245,30260000.0,4.0
167,0.8720304970538876,30260000.0,5.0
168,0.8773802947952357,30260000.0,6.0
169,0.8859275105451582,30260000.0,7.0
170,0.8998051745320946,30260000.0,8.0
171,0.8961438372769893,30260000.0,9.0
172,0.9203364174813544,30260000.0,10.0
173,0.9112441636922562,30260000.0,11.0
174,0.9089467941784197,30260000.0,12.0
175,0.9159767399432116,30260000.0,13.0
176,0.9007568061870359,30260000.0,14.0
177,0.8864308390933731,30260000.0,15.0
178,0.9080970629800419,30260000.0,16.0
179,1.0095807575085294,30260000.0,17.0
180,0.0,28480000.000000004,-27.0
181,0.0,28480000.000000004,-26.0
182,0.0,28480000.000000004,-25.0
183,0.0,28480000.000000004,-24.0
184,0.0,28480000.000000004,-23.0
185,0.0,28480000.000000004,-22.0
186,0.0,28480000.000000004,-21.0
187,0.0,28480000.000000004,-20.0
188,0.0,28480000.000000004,-19.0
189,0.0,28480000.000000004,-18.0
190,0.0,28480000.000000004,-17.0
191,0.0,28480000.000000004,-16.0
192,0.0,28480000.000000004,-15.0
193,0.0,28480000.000000004,-14.0
194,0.0,28480000.000000004,-13.0
195,0.0,28480000.000000004,-12.0
196,0.0,28480000.000000004,-11.0
197,0.0,28480000.000000004,-10.0
198,0.0,28480000.000000004,-9.0
199,0.0,28480000.000000004,-8.0
200,0.0,28480000.000000004,-7.0
201,0.0,28480000.000000004,-6.0
202,0.22793063277465378,28480000.000000004,-5.0
203,0.29013147457725313,28480000.000000004,-4.0
204,0.0,28480000.000000004,-3.0
205,0.4408324287815545,28480000.000000004,-2.0
206,0.5361538080184798,28480000.000000004,-1.0
207,0.5137543586296952,28480000.000000004,0.0
208,0.7346759111212674,28480000.000000004,1.0
209,0.6913504782380768,28480000.000000004,2.0
210,0.7891458866088922,28480000.000000004,3.0
211,0.823232947082438,28480000.000000004,4.0
212,0.83820584633803,28480000.000000004,5.0
213,0.8983945005230498,28480000.000000004,6.0
214,0.8749270211716762,28480000.000000004,7.0
215,0.907062059714144,28480000.000000004,8.0
216,0.8657950513187581,28480000.000000004,9.0
217,0.929661105789763,28480000.000000004,10.0
218,0.9473720709470763,28480000.000000004,11.0
219,0.9193574257717639,28480000.000000004,12.0
220,0.9165396843909682,28480000.000000004,13.0
221,0.9285897349483057,28480000.000000004,14.0
222,0.8960158388807262,28480000.000000004,15.0
223,1.016939893697101,28480000.000000004,16.0
224,1.0166204603220768,28480000.000000004,17.0
225,0.0,26700000.0,-27.0
226,0.0,26700000.0,-26.0
227,0.0,26700000.0,-25.0
228,0.0,26700000.0,-24.0
229,0.0,26700000.0,-23.0
230,0.0,26700000.0,-22.0
231,0.0,26700000.0,-21.0
232,0.0,26700000.0,-20.0
233,0.0,26700000.0,-19.0
234,0.0,26700000.0,-18.0
235,0.0,26700000.0,-17.0
236,0.0,26700000.0,-16.0
237,0.0,26700000.0,-15.0
238,0.0,26700000.0,-14.0
239,0.0,26700000.0,-13.0
240,0.0,26700000.0,-12.0
241,0.0,26700000.0,-11.0
242,0.0,26700000.0,-10.0
243,0.0,26700000.0,-9.0
244,0.0,26700000.0,-8.0
245,0.0,26700000.0,-7.0
246,0.0,26700000.0,-6.0
247,0.0,26700000.0,-5.0
248,0.0,26700000.0,-4.0
249,0.0,26700000.0,-3.0
250,0.0,26700000.0,-2.0
251,0.0,26700000.0,-1.0
252,0.624116593819139,26700000.0,0.0
253,0.684866303088016,26700000.0,1.0
254,0.7349782867507568,26700000.0,2.0
255,0.9142432779554283,26700000.0,3.0
256,0.8451627116209851,26700000.0,4.0
257,0.9461207816794874,26700000.0,5.0
258,0.8823766995601092,26700000.0,6.0
259,0.890405912272967,26700000.0,7.0
260,0.9057283295913837,26700000.0,8.0
261,0.9390130866527188,26700000.0,9.0
262,0.9295163702809263,26700000.0,10.0
263,0.91189756444067,26700000.0,11.0
264,0.889933789740443,26700000.0,12.0
265,0.9354881407542699,26700000.0,13.0
266,0.907921465886944,26700000.0,14.0
267,0.9099670505399534,26700000.0,15.0
268,1.0419350188666732,26700000.0,16.0
269,1.0093371168248506,26700000.0,17.0
270,0.0,24920000.000000004,-27.0
271,0.0,24920000.000000004,-26.0
272,0.0,24920000.000000004,-25.0
273,0.0,24920000.000000004,-24.0
274,0.0,24920000.000000004,-23.0
275,0.0,24920000.000000004,-22.0
276,0.0,24920000.000000004,-21.0
277,0.0,24920000.000000004,-20.0
278,0.0,24920000.000000004,-19.0
279,0.0,24920000.000000004,-18.0
280,0.0,24920000.000000004,-17.0
281,0.0,24920000.000000004,-16.0
282,0.0,24920000.000000004,-15.0
283,0.0,24920000.000000004,-14.0
284,0.0,24920000.000000004,-13.0
285,0.0,24920000.000000004,-12.0
286,0.0,24920000.000000004,-11.0
287,0.0,24920000.000000004,-10.0
288,0.0,24920000.000000004,-9.0
289,0.0,24920000.000000004,-8.0
290,0.0,24920000.000000004,-7.0
291,0.0,24920000.000000004,-6.0
292,0.0,24920000.000000004,-5.0
293,0.0,24920000.000000004,-4.0
294,0.0,24920000.000000004,-3.0
295,0.0,24920000.000000004,-2.0
296,0.0,24920000.000000004,-1.0
297,0.37722465118701837,24920000.000000004,0.0
298,0.5286033391671942,24920000.000000004,1.0
299,0.6509631630705696,24920000.000000004,2.0
300,0.6824188356677156,24920000.000000004,3.0
301,0.7822814694799461,24920000.000000004,4.0
302,0.7567284112093149,24920000.000000004,5.0
303,0.7997288069474923,24920000.000000004,6.0
304,0.8252358363943576,24920000.000000004,7.0
305,0.8352053583749116,24920000.000000004,8.0
306,0.847190034087242,24920000.000000004,9.0
307,0.8689101301347592,24920000.000000004,10.0
308,0.8973087640661512,24920000.000000004,11.0
309,0.8678390093816662,24920000.000000004,12.0
310,0.9198755509122423,24920000.000000004,13.0
311,0.8811218308562506,24920000.000000004,14.0
312,0.9013589879610405,24920000.000000004,15.0
313,0.8914806491927492,24920000.000000004,16.0
314,1.0246172038131907,24920000.000000004,17.0
315,0.0,23140000.0,-27.0
316,0.0,23140000.0,-26.0
317,0.0,23140000.0,-25.0
318,0.0,23140000.0,-24.0
319,0.0,23140000.0,-23.0
320,0.0,23140000.0,-22.0
321,0.0,23140000.0,-21.0
322,0.0,23140000.0,-20.0
323,0.0,23140000.0,-19.0
324,0.0,23140000.0,-18.0
325,0.0,23140000.0,-17.0
326,0.0,23140000.0,-16.0
327,0.0,23140000.0,-15.0
328,0.0,23140000.0,-14.0
329,0.0,23140000.0,-13.0
330,0.0,23140000.0,-12.0
331,0.0,23140000.0,-11.0
332,0.0,23140000.0,-10.0
333,0.0,23140000.0,-9.0
334,0.0,23140000.0,-8.0
335,0.0,23140000.0,-7.0
336,0.0,23140000.0,-6.0
337,0.0,23140000.0,-5.0
338,0.0,23140000.0,-4.0
339,0.0,23140000.0,-3.0
340,0.0,23140000.0,-2.0
341,0.0,23140000.0,-1.0
342,0.5640559435445579,23140000.0,0.0
343,0.5063353937811227,23140000.0,1.0
344,0.5899083906074161,23140000.0,2.0
345,0.5955186764210711,23140000.0,3.0
346,0.802723580057571,23140000.0,4.0
347,0.8188573788615308,23140000.0,5.0
348,0.8068476292232811,23140000.0,6.0
349,0.8599042833667487,23140000.0,7.0
350,0.8065046612030408,23140000.0,8.0
351,0.8390940837353489,23140000.0,9.0
352,0.8794295434805881,23140000.0,10.0
353,0.8905081074484152,23140000.0,11.0
354,0.8806098364943961,23140000.0,12.0
355,0.9042684480289868,23140000.0,13.0
356,0.916512271065991,23140000.0,14.0
357,0.907484688335675,23140000.0,15.0
358,0.8768466712174027,23140000.0,16.0
359,0.8786266782943308,23140000.0,17.0
360,0.0,21360000.0,-27.0
361,0.0,21360000.0,-26.0
362,0.0,21360000.0,-25.0
363,0.0,21360000.0,-24.0
364,0.0,21360000.0,-23.0
365,0.0,21360000.0,-22.0
366,0.0,21360000.0,-21.0
367,0.0,21360000.0,-20.0
368,0.0,21360000.0,-19.0
369,0.0,21360000.0,-18.0
370,0.0,21360000.0,-17.0
371,0.0,21360000.0,-16.0
372,0.0,21360000.0,-15.0
373,0.0,21360000.0,-14.0
374,0.0,21360000.0,-13.0
375,0.0,21360000.0,-12.0
376,0.0,21360000.0,-11.0
377,0.0,21360000.0,-10.0
378,0.0,21360000.0,-9.0
379,0.0,21360000.0,-8.0
380,0.0,21360000.0,-7.0
381,0.0,21360000.0,-6.0
382,0.0,21360000.0,-5.0
383,0.0,21360000.0,-4.0
384,0.0,21360000.0,-3.0
385,0.0,21360000.0,-2.0
386,0.4463893713153352,21360000.0,-1.0
387,0.37144614562700395,21360000.0,0.0
388,0.5819877442316433,21360000.0,1.0
389,0.5859978060556263,21360000.0,2.0
390,0.666117406185549,21360000.0,3.0
391,0.7110798799994433,21360000.0,4.0
392,0.7933897859963002,21360000.0,5.0
393,0.7410370451022752,21360000.0,6.0
394,0.8043794813122428,21360000.0,7.0
395,0.8038749910537388,21360000.0,8.0
396,0.8252915209339163,21360000.0,9.0
397,0.7953616366734808,21360000.0,10.0
398,0.8522275594070535,21360000.0,11.0
399,0.8825384494900301,21360000.0,12.0
400,0.8867721881543298,21360000.0,13.0
401,0.8723991991327956,21360000.0,14.0
402,0.8978508008556065,21360000.0,15.0
403,0.8899206586828569,21360000.0,16.0
404,0.8620524374153654,21360000.0,17.0
405,0.0,19580000.0,-27.0
406,0.0,19580000.0,-26.0
407,0.0,19580000.0,-25.0
408,0.0,19580000.0,-24.0
409,0.0,19580000.0,-23.0
410,0.0,19580000.0,-22.0
411,0.0,19580000.0,-21.0
412,0.0,19580000.0,-20.0
413,0.0,19580000.0,-19.0
414,0.0,19580000.0,-18.0
415,0.0,19580000.0,-17.0
416,0.0,19580000.0,-16.0
417,0.0,19580000.0,-15.0
418,0.0,19580000.0,-14.0
419,0.0,19580000.0,-13.0
420,0.0,19580000.0,-12.0
421,0.0,19580000.0,-11.0
422,0.0,19580000.0,-10.0
423,0.0,19580000.0,-9.0
424,0.0,19580000.0,-8.0
425,0.0,19580000.0,-7.0
426,0.0,19580000.0,-6.0
427,0.0,19580000.0,-5.0
428,0.0,19580000.0,-4.0
429,0.0,19580000.0,-3.0
430,0.0,19580000.0,-2.0
431,0.0,19580000.0,-1.0
432,0.0,19580000.0,0.0
433,0.28865681207802996,19580000.0,1.0
434,0.49616991388376097,19580000.0,2.0
435,0.6308306360641297,19580000.0,3.0
436,0.5765459499679709,19580000.0,4.0
437,0.49413311189630416,19580000.0,5.0
438,0.5876792917458359,19580000.0,6.0
439,0.7086386993390119,19580000.0,7.0
440,0.7839704308975707,19580000.0,8.0
441,0.7199767637076752,19580000.0,9.0
442,0.7453021115576668,19580000.0,10.0
443,0.7597716640827833,19580000.0,11.0
444,0.7990180604196201,19580000.0,12.0
445,0.804713997743378,19580000.0,13.0
446,0.7954936928477929,19580000.0,14.0
447,0.8167141303412644,19580000.0,15.0
448,0.8465543374463902,19580000.0,16.0
449,0.8498971193435982,19580000.0,17.0
450,0.0,17800000.0,-27.0
451,0.0,17800000.0,-26.0
452,0.0,17800000.0,-25.0
453,0.0,17800000.0,-24.0
454,0.0,17800000.0,-23.0
455,0.0,17800000.0,-22.0
456,0.0,17800000.0,-21.0
457,0.0,17800000.0,-20.0
458,0.0,17800000.0,-19.0
459,0.0,17800000.0,-18.0
460,0.0,17800000.0,-17.0
461,0.0,17800000.0,-16.0
462,0.0,17800000.0,-15.0
463,0.0,17800000.0,-14.0
464,0.0,17800000.0,-13.0
465,0.0,17800000.0,-12.0
