,g2,detuning,power
0,0.0,30000000.0,-27.0
1,0.0,30000000.0,-26.0
2,0.0,30000000.0,-25.0
3,0.0,30000000.0,-24.0
4,0.0,30000000.0,-23.0
5,0.0,30000000.0,-22.0
6,0.0,30000000.0,-21.0
7,0.0,30000000.0,-20.0
8,0.0,30000000.0,-19.0
9,0.0,30000000.0,-18.0
10,0.0,30000000.0,-17.0
11,0.0,30000000.0,-16.0
12,0.0,30000000.0,-15.0
13,0.0,30000000.0,-14.0
14,0.0,30000000.0,-13.0
15,0.0,30000000.0,-12.0
16,0.0,30000000.0,-11.0
17,0.0,30000000.0,-10.0
18,0.0,30000000.0,-9.0
19,0.0,30000000.0,-8.0
20,0.0,30000000.0,-7.0
21,0.0,30000000.0,-6.0
22,0.0,30000000.0,-5.0
23,0.0,30000000.0,-4.0
24,0.0,30000000.0,-3.0
25,0.4365553272802033,30000000.0,-2.0
26,0.4778595229925817,30000000.0,-1.0
27,0.6044334467246057,30000000.0,0.0
28,0.6421755285975336,30000000.0,1.0
29,0.8347687239983095,30000000.0,2.0
30,0.865290463718892,30000000.0,3.0
31,0.8794747232736532,30000000.0,4.0
32,0.8132468131807551,30000000.0,5.0
33,0.8000310641584302,30000000.0,6.0
34,0.8271441085290274,30000000.0,7.0
35,0.8582464080963315,30000000.0,8.0
36,0.8427629592549194,30000000.0,9.0
37,0.8630033655098686,30000000.0,10.0
38,0.8378646018362677,30000000.0,11.0
39,0.8481522868725265,30000000.0,12.0
40,0.8391626231017054,30000000.0,13.0
41,0.8559787557651762,30000000.0,14.0
42,0.8442503271739226,30000000.0,15.0
43,0.8135699504907319,30000000.0,16.0
44,0.8229726341991005,30000000.0,17.0
45,0.0,28500000.0,-27.0
46,0.0,28500000.0,-26.0
47,0.0,28500000.0,-25.0
48,0.0,28500000.0,-24.0
49,0.0,28500000.0,-23.0
50,0.0,28500000.0,-22.0
51,0.0,28500000.0,-21.0
52,0.0,28500000.0,-20.0
53,0.0,28500000.0,-19.0
54,0.0,28500000.0,-18.0
55,0.0,28500000.0,-17.0
56,0.0,28500000.0,-16.0
57,0.0,28500000.0,-15.0
58,0.0,28500000.0,-14.0
59,0.0,28500000.0,-13.0
60,0.0,28500000.0,-12.0
61,0.0,28500000.0,-11.0
62,0.0,28500000.0,-10.0
63,0.0,28500000.0,-9.0
64,0.0,28500000.0,-8.0
65,0.0,28500000.0,-7.0
66,0.0,28500000.0,-6.0
67,0.0,28500000.0,-5.0
68,0.0,28500000.0,-4.0
69,0.0,28500000.0,-3.0
70,0.32823832546521914,28500000.0,-2.0
71,0.0,28500000.0,-1.0
72,0.5582883913002568,28500000.0,0.0
73,0.5527575958128731,28500000.0,1.0
74,0.5545950688738003,28500000.0,2.0
75,0.6102855455828979,28500000.0,3.0
76,0.8008765437710863,28500000.0,4.0
77,0.7156876300681582,28500000.0,5.0
78,0.7980568852073215,28500000.0,6.0
79,0.7995443428986946,28500000.0,7.0
80,0.7643697183023342,28500000.0,8.0
81,0.7697155674950105,28500000.0,9.0
82,0.8065360083637877,28500000.0,10.0
83,0.8097717133217137,28500000.0,11.0
84,0.7895715295754578,28500000.0,12.0
85,0.7989734354729113,28500000.0,13.0
