,n,pop,detuning,freq,power
117,1,0.0,18000000.0,0.0,-26.0
118,2,0.0,18000000.0,0.0,-26.0
119,3,0.0,18000000.0,0.0,-26.0
120,0,1.0,16500000.0,5312400000.0,-26.0
121,1,0.0,16500000.0,0.0,-26.0
122,2,0.0,16500000.0,0.0,-26.0
123,3,0.0,16500000.0,0.0,-26.0
124,0,1.0,15000000.0,5312400000.0,-26.0
125,1,0.0,15000000.0,0.0,-26.0
126,2,0.0,15000000.0,0.0,-26.0
127,3,0.0,15000000.0,0.0,-26.0
128,0,1.0,13500000.0,5312400000.0,-26.0
129,1,0.0,13500000.0,0.0,-26.0
130,2,0.0,13500000.0,0.0,-26.0
131,3,0.0,13500000.0,0.0,-26.0
132,0,1.0,12000000.0,5312400000.0,-26.0
133,1,0.0,12000000.0,0.0,-26.0
134,2,0.0,12000000.0,0.0,-26.0
135,3,0.0,12000000.0,0.0,-26.0
136,0,1.0,10500000.0,5312400000.0,-26.0
137,1,0.0,10500000.0,0.0,-26.0
138,2,0.0,10500000.0,0.0,-26.0
139,3,0.0,10500000.0,0.0,-26.0
140,0,1.0,9000000.0,5312400000.0,-26.0
141,1,0.0,9000000.0,0.0,-26.0
142,2,0.0,9000000.0,0.0,-26.0
143,3,0.0,9000000.0,0.0,-26.0
144,0,1.0,7500000.0,5312400000.0,-26.0
145,1,0.0,7500000.0,0.0,-26.0
146,2,0.0,7500000.0,0.0,-26.0
147,3,0.0,7500000.0,0.0,-26.0
148,0,1.0,6000000.0,5312400000.0,-26.0
149,1,0.0,6000000.0,0.0,-26.0
150,2,0.0,6000000.0,0.0,-26.0
151,3,0.0,6000000.0,0.0,-26.0
152,0,1.0,4500000.0,5312400000.0,-26.0
153,1,0.0,4500000.0,0.0,-26.0
154,2,0.0,4500000.0,0.0,-26.0
155,3,0.0,4500000.0,0.0,-26.0
156,0,1.0,3000000.0,5312400000.0,-26.0
157,1,0.0,3000000.0,0.0,-26.0
158,2,0.0,3000000.0,0.0,-26.0
