busfrequency,,frequency,I,Q,amplitude,phase
5207200000.0,0,5305000000.0,0.09029414504766464,-0.09368400275707245,-17.713500962842865,-0.8038214066864598
5207200000.0,1,5305200000.0,0.09006866812705994,-0.09581948816776276,-17.621110924501767,-0.8163252892022955
5207200000.0,2,5305400000.0,0.09184727072715759,-0.09388242661952972,-17.63215151208977,-0.7963553472723842
5207200000.0,3,5305600000.0,0.09109045565128326,-0.09440957754850388,-17.642029936069168,-0.8032890914925254
5207200000.0,4,5305800000.0,0.08991630375385284,-0.09448854625225067,-17.692184073913857,-0.8101876734456557
5207200000.0,5,5306000000.0,0.08956096321344376,-0.09448316693305969,-17.70875523696414,-0.8121364822821031
5207200000.0,6,5306200000.0,0.08787734806537628,-0.09439823031425476,-17.790175535675548,-0.8211577673189473
5207200000.0,7,5306400000.0,0.088962621986866,-0.09381014853715897,-17.769016196382374,-0.8119140956838813
5207200000.0,8,5306600000.0,0.08954323083162308,-0.09394367784261703,-17.73570113908807,-0.8093759157629872
5207200000.0,9,5306800000.0,0.08848099410533905,-0.09379736334085464,-17.791904995296342,-0.8145561094677712
5207200000.0,10,5307000000.0,0.09012601524591446,-0.0937189981341362,-17.719604394435613,-0.8049392185519696
5207200000.0,11,5307200000.0,0.08777213841676712,-0.09375329315662384,-17.82683797966515,-0.8183356509458674
5207200000.0,12,5307400000.0,0.08947264403104782,-0.09302814304828644,-17.783357058675296,-0.8048778015070707
5207200000.0,13,5307600000.0,0.08882485330104828,-0.09412123262882233,-17.76019907761527,-0.8143405720743072
5207200000.0,14,5307800000.0,0.0888710469007492,-0.09340077638626099,-17.793227835148503,-0.8102445561797177
5207200000.0,15,5308000000.0,0.08818124979734421,-0.09517990797758102,-17.73783069098456,-0.8235483505333536
5207200000.0,16,5308200000.0,0.08881933987140656,-0.09381970763206482,-17.77517313052438,-0.8127697413958911
5207200000.0,17,5308400000.0,0.08862245827913284,-0.09297225624322891,-17.825744777876366,-0.8093469129278823
5207200000.0,18,5308600000.0,0.08822964131832123,-0.09308748692274094,-17.838407025054416,-0.8121837396665029
5207200000.0,19,5308800000.0,0.08720776438713074,-0.09321174770593643,-17.87982307784389,-0.8186637920002985
5207200000.0,20,5309000000.0,0.08830982446670532,-0.09364301711320877,-17.807393573592847,-0.8147006249155021
5207200000.0,21,5309200000.0,0.08727442473173141,-0.09399223327636719,-17.83798058614274,-0.8224415754593483
5207200000.0,22,5309400000.0,0.08812381327152252,-0.09524209052324295,-17.73738840662871,-0.8241987505914372
5207200000.0,23,5309600000.0,0.08677344769239426,-0.09381255507469177,-17.87002466999809,-0.8243576923180893
5207200000.0,24,5309800000.0,0.08915866166353226,-0.09554323554039001,-17.675686666227993,-0.8199513156950088
5207200000.0,25,5310000000.0,0.08912155777215958,-0.09562626481056213,-17.673333016268476,-0.8205921976520141
5207200000.0,26,5310200000.0,0.08748345077037811,-0.09339143335819244,-17.85810364011187,-0.8180499209565193
5207200000.0,27,5310400000.0,0.08766298741102219,-0.0948614552617073,-17.77712963013883,-0.8248161125406164
5207200000.0,28,5310600000.0,0.08700098842382431,-0.09522192925214767,-17.789409647058005,-0.8304823397648107
5207200000.0,29,5310800000.0,0.0871909037232399,-0.09472949802875519,-17.805220569441282,-0.8268134395912669
5207200000.0,30,5311000000.0,0.08500748127698898,-0.09650130569934845,-17.814966906223034,-0.8486375163364172
5207200000.0,31,5311200000.0,0.0852314829826355,-0.09788459539413452,-17.73508367286199,-0.8543873638377304
5207200000.0,32,5311400000.0,0.08248946070671082,-0.0977625697851181,-17.861627841039404,-0.8699282214396704
5207200000.0,33,5311600000.0,0.08316958695650101,-0.10061506181955338,-17.685158604517152,-0.8800380540079308
5207200000.0,34,5311800000.0,0.07620321214199066,-0.10072287917137146,-17.97184098654888,-0.9231080592169143
5207200000.0,35,5312000000.0,0.06921221315860748,-0.10597742348909378,-17.952956131216446,-0.992255792416537
