busfrequency,,frequency,I,Q,amplitude,phase
5214800000.0,0,5305000000.0,0.08994371443986893,-0.0923391580581665,-17.794632740257192,-0.7985387602396778
5214800000.0,1,5305200000.0,0.091574527323246,-0.09087447077035904,-17.787406361686017,-0.7815611836130102
5214800000.0,2,5305400000.0,0.08762156963348389,-0.09125488251447678,-17.957445101682296,-0.8057072275245317
5214800000.0,3,5305600000.0,0.0898168534040451,-0.09271220117807388,-17.782567254555065,-0.8012592271560074
5214800000.0,4,5305800000.0,0.08793637901544571,-0.0911950021982193,-17.94542952886227,-0.8035874040687351
5214800000.0,5,5306000000.0,0.08922778815031052,-0.094174325466156,-17.73905516942484,-0.8123626204270178
5214800000.0,6,5306200000.0,0.09048119187355042,-0.09138605743646622,-17.815102483936567,-0.7903735402169475
5214800000.0,7,5306400000.0,0.08872492611408234,-0.0936448872089386,-17.788081200882115,-0.8123695570115627
5214800000.0,8,5306600000.0,0.09042749553918839,-0.09339885413646698,-17.72101014444539,-0.8015606986620777
5214800000.0,9,5306800000.0,0.08847847580909729,-0.09324093163013458,-17.819291807368177,-0.8115999102529009
5214800000.0,10,5307000000.0,0.08784624189138412,-0.09466119110584259,-17.778637562076355,-0.8227214895267334
5214800000.0,11,5307200000.0,0.08882719278335571,-0.09340652823448181,-17.794983554352758,-0.8105217897933457
5214800000.0,12,5307400000.0,0.08950720727443695,-0.09294887632131577,-17.78558798564191,-0.804258926325156
5214800000.0,13,5307600000.0,0.08972786366939545,-0.09308027476072311,-17.768929157772046,-0.8037345208133015
5214800000.0,14,5307800000.0,0.0892939418554306,-0.09418988227844238,-17.735253243084685,-0.8120750597464811
5214800000.0,15,5308000000.0,0.08977953344583511,-0.09341298788785934,-17.75043701859761,-0.8052296394447109
5214800000.0,16,5308200000.0,0.0895765945315361,-0.09261385351419449,-17.79858107620041,-0.8020674108538228
5214800000.0,17,5308400000.0,0.09014308452606201,-0.0906878262758255,-17.864807150732084,-0.7884105914140603
5214800000.0,18,5308600000.0,0.08799812942743301,-0.09206146001815796,-17.899763759567602,-0.8079609219948982
5214800000.0,19,5308800000.0,0.08941814303398132,-0.09331091493368149,-17.77217709635471,-0.8066984601585829
5214800000.0,20,5309000000.0,0.09055187553167343,-0.09213823080062866,-17.775671939922866,-0.7940812575849512
5214800000.0,21,5309200000.0,0.08823398500680923,-0.09327685832977295,-17.828897516195553,-0.8131737845650592
5214800000.0,22,5309400000.0,0.08837784826755524,-0.0934232547879219,-17.815026062015363,-0.8131433845340666
5214800000.0,23,5309600000.0,0.0879797637462616,-0.09297142177820206,-17.855767712671394,-0.8129768301529166
5214800000.0,24,5309800000.0,0.09063868224620819,-0.0933758094906807,-17.71229865148104,-0.8002715865777087
5214800000.0,25,5310000000.0,0.08758203685283661,-0.09468076378107071,-17.789756228932482,-0.8243262427894962
5214800000.0,26,5310200000.0,0.08792096376419067,-0.09380902349948883,-17.81721136256147,-0.817786877913516
5214800000.0,27,5310400000.0,0.08692483603954315,-0.09425181895494461,-17.841158205450142,-0.8258172364107546
5214800000.0,28,5310600000.0,0.08814172446727753,-0.09376318752765656,-17.809265831213192,-0.8162916367930538
5214800000.0,29,5310800000.0,0.08656632155179977,-0.09613708406686783,-17.763465952260372,-0.8377344758737033
5214800000.0,30,5311000000.0,0.08666596561670303,-0.09588128328323364,-17.771740567436872,-0.8358371676592183
5214800000.0,31,5311200000.0,0.08514752238988876,-0.09536266326904297,-17.866379763874697,-0.8419282543762218
5214800000.0,32,5311400000.0,0.08535738289356232,-0.09740853309631348,-17.75355461176265,-0.8512404751146824
5214800000.0,33,5311600000.0,0.08435315638780594,-0.0954551175236702,-17.89758165366148,-0.8470632097374757
5214800000.0,34,5311800000.0,0.07841856777667999,-0.09763429313898087,-18.046005729947733,-0.8941152802542267
5214800000.0,35,5312000000.0,0.07515202462673187,-0.09975358843803406,-18.069142334350786,-0.9251376601052426
5214800000.0,36,5312200000.0,0.06977390497922897,-0.10352063179016113,-18.072954499329434,-0.9777273320574749
5214800000.0,37,5312400000.0,0.057650886476039886,-0.11063849180936813,-18.078648099801484,-1.090431683623049
5214800000.0,38,5312600000.0,0.04443702846765518,-0.11510103195905685,-18.175026894726315,-1.2023561496846957
5214800000.0,39,5312800000.0,0.037904445081949234,-0.11708249151706696,-18.197290942155067,-1.2577032450355794
5214800000.0,40,5313000000.0,0.04812563583254814,-0.11284822970628738,-18.2244042183796,-1.1676868488227259
5214800000.0,41,5313200000.0,0.06141185760498047,-0.10804299265146255,-18.112203961020157,-1.0539347248415898
5214800000.0,42,5313400000.0,0.07218457758426666,-0.10169580578804016,-18.081955969897592,-0.9535175676020557
5214800000.0,43,5313600000.0,0.07901622354984283,-0.09843691438436508,-17.976918217909812,-0.8944055733956995
5214800000.0,44,5313800000.0,0.08353143185377121,-0.09976441413164139,-17.713317951545417,-0.8737293608193841
5214800000.0,45,5314000000.0,0.08527962118387222,-0.09568903595209122,-17.843887278858904,-0.8428553906847004
5214800000.0,46,5314200000.0,0.08523710072040558,-0.09505851566791534,-17.877728382271112,-0.839818329995355
5214800000.0,47,5314400000.0,0.08640870451927185,-0.09533033519983292,-17.810882073438265,-0.8344491235457302
5214800000.0,48,5314600000.0,0.0880528911948204,-0.09323936700820923,-17.839161803198046,-0.8139987314612158
5214800000.0,49,5314800000.0,0.08673910796642303,-0.09332383424043655,-17.89600920048508,-0.8219509005060271
5214800000.0,50,5315000000.0,0.0886249989271164,-0.09298653155565262,-17.824927496537644,-0.809409273237156
5214800000.0,51,5315200000.0,0.08754537999629974,-0.09390493482351303,-17.8298138587211,-0.8204322868507135
5214800000.0,52,5315400000.0,0.08826137334108353,-0.09402836859226227,-17.790710834540004,-0.8170240374234178
5214800000.0,53,5315600000.0,0.08822543919086456,-0.0935978814959526,-17.81351825448409,-0.8149371665033721
5214800000.0,54,5315800000.0,0.08789682388305664,-0.09287963807582855,-17.864164047587398,-0.8129545876729982
5214800000.0,55,5316000000.0,0.08951764553785324,-0.09367287158966064,-17.75000632419767,-0.8080768135751112
5214800000.0,56,5316200000.0,0.0902249664068222,-0.0943756178021431,-17.68344350201628,-0.807878873128755
5214800000.0,57,5316400000.0,0.09000851958990097,-0.09192633628845215,-17.811499184818533,-0.7959390004443732
5214800000.0,58,5316600000.0,0.08846914023160934,-0.09150559455156326,-17.904833070584047,-0.8022681216413663
5214800000.0,59,5316800000.0,0.08891437202692032,-0.09350596368312836,-17.786084348189657,-0.8105632434917577
5214800000.0,60,5317000000.0,0.08893375098705292,-0.09416403621435165,-17.753095689699872,-0.8139559268969125
5214800000.0,61,5317200000.0,0.08728045970201492,-0.09280978888273239,-17.896403925009462,-0.8160916226087489
5214800000.0,62,5317400000.0,0.09071780741214752,-0.09285213053226471,-17.733681688511695,-0.7970243968546191
5214800000.0,63,5317600000.0,0.08947326987981796,-0.09275420755147934,-17.796615081418036,-0.8034008447899592
5214800000.0,64,5317800000.0,0.0906314104795456,-0.09395773708820343,-17.684766632376704,-0.8034163766784017
5214800000.0,65,5318000000.0,0.09005031734704971,-0.09278906136751175,-17.767930904624695,-0.8003760048081412
5214800000.0,66,5318200000.0,0.08980628103017807,-0.09421449154615402,-17.710471521724127,-0.8093485443338001
5214800000.0,67,5318400000.0,0.09175525605678558,-0.09215036034584045,-17.71838005879935,-0.7875465680459662
