busfrequency,,frequency,I,Q,amplitude,phase
5212400000.0,0,5305000000.0,0.08809488266706467,-0.0941091775894165,-17.79440959755689,-0.8183947498512293
5212400000.0,1,5305200000.0,0.08906564861536026,-0.09353216737508774,-17.777790606635584,-0.8098542513560326
5212400000.0,2,5305400000.0,0.08844104409217834,-0.09401120245456696,-17.783269719334236,-0.8159180878693211
5212400000.0,3,5305600000.0,0.09058944135904312,-0.0943203940987587,-17.669331986024034,-0.8055725718729049
5212400000.0,4,5305800000.0,0.08824615180492401,-0.09439188241958618,-17.773560705384803,-0.8190352565435882
5212400000.0,5,5306000000.0,0.08702565729618073,-0.09239307790994644,-17.92905918728968,-0.8153048522792651
5212400000.0,6,5306200000.0,0.08808598667383194,-0.09694014489650726,-17.65570476607431,-0.8332152412034295
5212400000.0,7,5306400000.0,0.08790519833564758,-0.09516195207834244,-17.751272738549712,-0.8250172671953383
5212400000.0,8,5306600000.0,0.08805132657289505,-0.09362126141786575,-17.82043150812705,-0.8160477548948121
5212400000.0,9,5306800000.0,0.08699265122413635,-0.09423025697469711,-17.839116520359514,-0.8253145375514676
5212400000.0,10,5307000000.0,0.08759148418903351,-0.09508533030748367,-17.769329024235006,-0.8263976012945352
5212400000.0,11,5307200000.0,0.08862704783678055,-0.09434487670660019,-17.75837181165556,-0.8166377578322702
5212400000.0,12,5307400000.0,0.08795788884162903,-0.09457595646381378,-17.777726650400197,-0.8216389492056625
5212400000.0,13,5307600000.0,0.08827970176935196,-0.09434620290994644,-17.77426277912129,-0.8186041385932632
5212400000.0,14,5307800000.0,0.08661296963691711,-0.0928930714726448,-17.923406139591705,-0.820369362315877
5212400000.0,15,5308000000.0,0.08744823187589645,-0.09462045133113861,-17.798860760145573,-0.8247707387452602
5212400000.0,16,5308200000.0,0.08908790349960327,-0.09402550756931305,-17.75274030647283,-0.8123563630037002
5212400000.0,17,5308400000.0,0.08807358145713806,-0.09325847774744034,-17.837258828354653,-0.8139837537282804
5212400000.0,18,5308600000.0,0.08703075349330902,-0.09540867060422897,-17.77877735868572,-0.8312875619429227
5212400000.0,19,5308800000.0,0.08785819262266159,-0.09403114765882492,-17.809155737673336,-0.8193231129796532
5212400000.0,20,5309000000.0,0.08830045163631439,-0.09472354501485825,-17.754793749331462,-0.820478035613274
5212400000.0,21,5309200000.0,0.08794279396533966,-0.09574555605649948,-17.720838333598106,-0.827850904989007
5212400000.0,22,5309400000.0,0.08701327443122864,-0.09502197802066803,-17.798791911322734,-0.8293651548707877
5212400000.0,23,5309600000.0,0.08775380998849869,-0.09468074142932892,-17.78190148448648,-0.8233493380358939
5212400000.0,24,5309800000.0,0.08727908879518509,-0.0953047052025795,-17.772672450736756,-0.829325685213191
5212400000.0,25,5310000000.0,0.08717970550060272,-0.09579838812351227,-17.752693299860514,-0.8324656404569335
5212400000.0,26,5310200000.0,0.08630269020795822,-0.09373186528682709,-17.895793565213676,-0.826640037800067
5212400000.0,27,5310400000.0,0.08827190101146698,-0.09453723579645157,-17.7652437348233,-0.8196573011992173
5212400000.0,28,5310600000.0,0.08465591818094254,-0.09532512724399567,-17.890529877170003,-0.8446084977886836
5212400000.0,29,5310800000.0,0.08506373316049576,-0.09459693729877472,-17.909028800115635,-0.8384107228656356
5212400000.0,30,5311000000.0,0.08546999841928482,-0.09645034372806549,-17.796881700800473,-0.8456830118902078
5212400000.0,31,5311200000.0,0.08305569738149643,-0.09736382961273193,-17.857400829441264,-0.8645373195086818
5212400000.0,32,5311400000.0,0.08154647797346115,-0.09688808023929596,-17.94873400074181,-0.8711661089715342
5212400000.0,33,5311600000.0,0.08113060891628265,-0.10017459094524384,-17.794441295580267,-0.8900526598798915
5212400000.0,34,5311800000.0,0.07845638692378998,-0.10183873027563095,-17.818182807645083,-0.9143675960228833
5212400000.0,35,5312000000.0,0.07299895584583282,-0.10159952938556671,-18.054492531129988,-0.9477638451252787
5212400000.0,36,5312200000.0,0.06379728019237518,-0.10796663910150528,-18.03357202775596,-1.0370962933772023
5212400000.0,37,5312400000.0,0.049665022641420364,-0.11224997788667679,-18.219826659009826,-1.154238544840771
5212400000.0,38,5312600000.0,0.03726324066519737,-0.11740460246801376,-18.189460086045795,-1.2634612342603642
5212400000.0,39,5312800000.0,0.04090627655386925,-0.1170639768242836,-18.131199655551768,-1.2346247403085018
5212400000.0,40,5313000000.0,0.05450522527098656,-0.11114741116762161,-18.146117993382948,-1.1148687965655677
5212400000.0,41,5313200000.0,0.06588270515203476,-0.10613935440778732,-18.067057984445604,-1.01528146780794
5212400000.0,42,5313400000.0,0.07401613891124725,-0.10173599421977997,-18.00557458952985,-0.9418308199352539
5212400000.0,43,5313600000.0,0.07936018705368042,-0.09862177819013596,-17.952210841259287,-0.8932007583880439
5212400000.0,44,5313800000.0,0.08362297713756561,-0.09818065911531448,-17.790491490139306,-0.865301337094132
5212400000.0,45,5314000000.0,0.082278773188591,-0.09780135750770569,-17.86883465427336,-0.8713838287861587
5212400000.0,46,5314200000.0,0.0858020931482315,-0.09634201973676682,-17.78747930196415,-0.8431995703838522
5212400000.0,47,5314400000.0,0.08371488004922867,-0.09692876040935516,-17.85067031789769,-0.8584169954291488
5212400000.0,48,5314600000.0,0.0851159617304802,-0.09551621228456497,-17.86002426803915,-0.8429116200830019
5212400000.0,49,5314800000.0,0.08698289096355438,-0.09575159102678299,-17.763901007747613,-0.8333473999755324
5212400000.0,50,5315000000.0,0.08710585534572601,-0.09643792361021042,-17.724294137181495,-0.8361982468443953
5212400000.0,51,5315200000.0,0.0855441689491272,-0.0955323725938797,-17.839862183825343,-0.8405024405604594
5212400000.0,52,5315400000.0,0.08796902745962143,-0.09548020362854004,-17.73270751592042,-0.8263194746159193
5212400000.0,53,5315600000.0,0.08836167305707932,-0.09440048038959503,-17.767835728619353,-0.8184280385715242
5212400000.0,54,5315800000.0,0.08682726323604584,-0.09527712315320969,-17.79455120575568,-0.8317660929462599
5212400000.0,55,5316000000.0,0.08817050606012344,-0.09481211751699448,-17.75638519755073,-0.8216786419102844
5212400000.0,56,5316200000.0,0.08722242712974548,-0.09401926398277283,-17.839034373924953,-0.822882106653692
5212400000.0,57,5316400000.0,0.08838973939418793,-0.09558948129415512,-17.708278642846317,-0.8245116565045536
5212400000.0,58,5316600000.0,0.08985444158315659,-0.09599009901285172,-17.62257261330296,-0.8184011754741134
5212400000.0,59,5316800000.0,0.08776718378067017,-0.09679392725229263,-17.677119626592226,-0.8342684593589232
5212400000.0,60,5317000000.0,0.0861099511384964,-0.094803586602211,-17.850861483252384,-0.833415316012343
5212400000.0,61,5317200000.0,0.08756843954324722,-0.0952744260430336,-17.761032326366713,-0.8275186409097036
5212400000.0,62,5317400000.0,0.08854188770055771,-0.09476632624864578,-17.741656824479726,-0.8193412572107422
5212400000.0,63,5317600000.0,0.0866672471165657,-0.09525199234485626,-17.803066841130402,-0.83255305116233
5212400000.0,64,5317800000.0,0.08646712452173233,-0.09451954066753387,-17.84877996224543,-0.8298606056472604
5212400000.0,65,5318000000.0,0.08631552755832672,-0.09533784538507462,-17.81473026880644,-0.8350251514830451
5212400000.0,66,5318200000.0,0.08626264333724976,-0.09423546493053436,-17.87238161533999,-0.8295406892275413
5212400000.0,67,5318400000.0,0.08493052423000336,-0.09443657100200653,-17.923263274112188,-0.8383463458190435
5212400000.0,68,5318600000.0,0.08783381432294846,-0.09392105787992477,-17.81571005782958,-0.8188771509625064
5212400000.0,69,5318800000.0,0.08723887801170349,-0.094833604991436,-17.79786373633495,-0.8270866527454378
5212400000.0,70,5319000000.0,0.0856969803571701,-0.09227403253316879,-17.9973872812217,-0.8223371028733388
5212400000.0,71,5319200000.0,0.0863175094127655,-0.09441623836755753,-17.860803148920212,-0.8301784821381617
5212400000.0,72,5319400000.0,0.0858052521944046,-0.09506946057081223,-17.851364598617682,-0.8365723700520498
5212400000.0,73,5319600000.0,0.08481217920780182,-0.09585808962583542,-17.856362838305774,-0.8464606634706515
5212400000.0,74,5319800000.0,0.08687043190002441,-0.09297861903905869,-17.907130355314028,-0.8193479684321445
5212400000.0,75,5320000000.0,0.08796460181474686,-0.09433713555335999,-17.7891803147337,-0.8203399042552065
5212400000.0,76,5320200000.0,0.08583628386259079,-0.09335256367921829,-17.93644582778946,-0.8273197244973683
5212400000.0,77,5320400000.0,0.08867266774177551,-0.09312587976455688,-17.815886701749683,-0.809888577275133
5212400000.0,78,5320600000.0,0.08814329653978348,-0.09313386678695679,-17.8401477361047,-0.8129212663505131
5212400000.0,79,5320800000.0,0.08925330638885498,-0.09283680468797684,-17.802891065576674,-0.8050754306689556
5212400000.0,80,5321000000.0,0.08645649999380112,-0.092035211622715,-17.973698501141374,-0.8166427299088755
5212400000.0,81,5321200000.0,0.09039349108934402,-0.09294499456882477,-17.74438609925999,-0.7993141656175656
5212400000.0,82,5321400000.0,0.08715363591909409,-0.09297215193510056,-17.894252794844387,-0.8176894503347771
5212400000.0,83,5321600000.0,0.08962889760732651,-0.09317751973867416,-17.768834998302324,-0.8048076379128897
5212400000.0,84,5321800000.0,0.08899679780006409,-0.09352486580610275,-17.781339516658996,-0.8102014624535459
5212400000.0,85,5322000000.0,0.08573994785547256,-0.09225854277610779,-17.9961529523439,-0.8220034352501776
5212400000.0,86,5322200000.0,0.08917945623397827,-0.09309694916009903,-17.793685269964644,-0.8068869013990814
5212400000.0,87,5322400000.0,0.08943260461091995,-0.09284661710262299,-17.79403342002523,-0.804125549520566
5212400000.0,88,5322600000.0,0.08807814866304398,-0.09374416619539261,-17.81314094045213,-0.8165504701168009
5212400000.0,89,5322800000.0,0.09064958244562149,-0.09307435154914856,-17.726228825384492,-0.7985952917184715
5212400000.0,90,5323000000.0,0.08721108734607697,-0.09337983280420303,-17.87131728241719,-0.8195435560362556
5212400000.0,91,5323200000.0,0.08771182596683502,-0.09303216636180878,-17.86526115804587,-0.8148254461246892
5212400000.0,92,5323400000.0,0.08684932440519333,-0.09321355074644089,-17.89639439067078,-0.8207279235723427
5212400000.0,93,5323600000.0,0.08568397909402847,-0.09249994158744812,-17.986579589918197,-0.823631921563092
5212400000.0,94,5323800000.0,0.08835084736347198,-0.09441569447517395,-17.76758646484597,-0.8185695656628421
5212400000.0,95,5324000000.0,0.08850029110908508,-0.09310620278120041,-17.824879848790566,-0.8107547703996316
5212400000.0,96,5324200000.0,0.08634822070598602,-0.09460429102182388,-17.849976343008617,-0.8309921620810435
5212400000.0,97,5324400000.0,0.08812779933214188,-0.09387914836406708,-17.80420620580719,-0.8169872644841423
5212400000.0,98,5324600000.0,0.08800848573446274,-0.09370820969343185,-17.818132749278043,-0.8167538727372289
5212400000.0,99,5324800000.0,0.08590113371610641,-0.09274795651435852,-17.96390933756227,-0.8237049548233404
5212400000.0,100,5325000000.0,0.08740157634019852,-0.09308458119630814,-17.877118320118438,-0.8168749698339315
5212400000.0,101,5325200000.0,0.08791449666023254,-0.09208381175994873,-17.902601994345563,-0.8085571015256919
5212400000.0,102,5325400000.0,0.08831270784139633,-0.094350665807724,-17.772527781303186,-0.8184412424826902
5212400000.0,103,5325600000.0,0.08851784467697144,-0.09508182108402252,-17.727314733748635,-0.8211345133861444
5212400000.0,104,5325800000.0,0.0880080983042717,-0.0943973958492279,-17.784216295952895,-0.8204118364185721
5212400000.0,105,5326000000.0,0.08833928406238556,-0.09227752685546875,-17.87307227455935,-0.8071991177411261
5212400000.0,106,5326200000.0,0.08846219629049301,-0.09476640075445175,-17.7452967440152,-0.8197908221655046
