busfrequency,,frequency,I,Q,amplitude,phase
5219248485.0789995,0,5305000000.0,-0.04618733003735542,0.10870581865310669,-18.554188043519588,1.9725684598205266
5219248485.0789995,1,5305200000.0,-0.04628276079893112,0.10836772620677948,-18.57433534552578,1.974435801478345
5219248485.0789995,2,5305400000.0,-0.05005781725049019,0.10653430968523026,-18.583826805800758,2.010054890923289
5219248485.0789995,3,5305600000.0,-0.04609294235706329,0.10829571634531021,-18.584711666796892,1.9731929373275878
5219248485.0789995,4,5305800000.0,-0.043597783893346786,0.10659702122211456,-18.773355815782292,1.9590339694723697
5219248485.0789995,5,5306000000.0,-0.04627136513590813,0.10854494571685791,-18.56265789659754,1.973757083042162
5219248485.0789995,6,5306200000.0,-0.04720105603337288,0.10587473958730698,-18.716847491087776,1.9901685690611284
5219248485.0789995,7,5306400000.0,-0.046492625027894974,0.1089470237493515,-18.529108130945207,1.9741442885862817
5219248485.0789995,8,5306600000.0,-0.05007743090391159,0.10761161148548126,-18.511504100393097,2.0063445439960583
5219248485.0789995,9,5306800000.0,-0.04985488951206207,0.10559692233800888,-18.653060002009084,2.0118958640981703
5219248485.0789995,10,5307000000.0,-0.04787901043891907,0.10730601102113724,-18.599013155074534,1.9904784393160377
5219248485.0789995,11,5307200000.0,-0.05033278465270996,0.10928711295127869,-18.3931955762673,2.0023934834151134
5219248485.0789995,12,5307400000.0,-0.051542870700359344,0.10757147520780563,-18.468472977896127,2.017625228216467
5219248485.0789995,13,5307600000.0,-0.04881453514099121,0.10963045805692673,-18.41586355406404,1.9897051151541716
5219248485.0789995,14,5307800000.0,-0.05370378494262695,0.10731013864278793,-18.416507066554686,2.0348070461234715
5219248485.0789995,15,5308000000.0,-0.04891374334692955,0.10890945792198181,-18.460685984459545,1.9929207063930383
5219248485.0789995,16,5308200000.0,-0.0482192225754261,0.11118226498365402,-18.330790445885164,1.9800088340896003
5219248485.0789995,17,5308400000.0,-0.04834510013461113,0.1083565205335617,-18.51447185530341,1.9904581316520509
5219248485.0789995,18,5308600000.0,-0.048628903925418854,0.10685381293296814,-18.606717582560336,1.9978812480436026
5219248485.0789995,19,5308800000.0,-0.0483417771756649,0.10955984890460968,-18.43442129173386,1.9863384637067172
5219248485.0789995,20,5309000000.0,-0.04599546641111374,0.10874592512845993,-18.556979993660644,1.970940069227416
5219248485.0789995,21,5309200000.0,-0.046272847801446915,0.10772715508937836,-18.618136645241343,1.9765039515170701
5219248485.0789995,22,5309400000.0,-0.04493856802582741,0.10903112590312958,-18.567583850493545,1.9617436570980507
5219248485.0789995,23,5309600000.0,-0.047057975083589554,0.10727639496326447,-18.62561129224786,1.984180865834996
5219248485.0789995,24,5309800000.0,-0.04504306614398956,0.10756086558103561,-18.66518013094354,1.9673767341296577
5219248485.0789995,25,5310000000.0,-0.04770781844854355,0.107306107878685,-18.604156814970803,1.989146833321194
5219248485.0789995,26,5310200000.0,-0.04776981100440025,0.10716701298952103,-18.61169409636052,1.9901112290797238
5219248485.0789995,27,5310400000.0,-0.04422183707356453,0.1060863733291626,-18.791008158675815,1.9657414999049
5219248485.0789995,28,5310600000.0,-0.0414457693696022,0.1087053120136261,-18.68554682009955,1.935050171142111
5219248485.0789995,29,5310800000.0,-0.042892683297395706,0.11054906249046326,-18.519875754303467,1.9409124909440072
5219248485.0789995,30,5311000000.0,-0.041023097932338715,0.1104237288236618,-18.577264931184818,1.9265004111876176
5219248485.0789995,31,5311200000.0,-0.04107488691806793,0.11030437797307968,-18.584184802164984,1.927265985573948
5219248485.0789995,32,5311400000.0,-0.038711708039045334,0.10925886034965515,-18.717269372338194,1.9113072543037366
5219248485.0789995,33,5311600000.0,-0.031137507408857346,0.11080793291330338,-18.778515699752237,1.8447360888643909
5219248485.0789995,34,5311800000.0,-0.023015808314085007,0.1122499406337738,-18.817426631107516,1.7730339982714363
5219248485.0789995,35,5312000000.0,-0.014567120932042599,0.11034109443426132,-19.070213062561336,1.7020562617468453
5219248485.0789995,36,5312200000.0,0.0008866931893862784,0.11051400005817413,-19.13137446521194,1.5627731427374962
5219248485.0789995,37,5312400000.0,0.0013577158097177744,0.11044877767562866,-19.13612550417883,1.5585042267290026
5219248485.0789995,38,5312600000.0,-0.012977911159396172,0.11084766685962677,-19.046342514273576,1.687344527566345
5219248485.0789995,39,5312800000.0,-0.024487588554620743,0.11144407838582993,-18.85408209189885,1.7870889210611056
5219248485.0789995,40,5313000000.0,-0.0349031537771225,0.1089906394481659,-18.82821884399804,1.880716891425202
5219248485.0789995,41,5313200000.0,-0.04103415459394455,0.10887359827756882,-18.684691578109984,1.931229259354653
5219248485.0789995,42,5313400000.0,-0.042136404663324356,0.1068304032087326,-18.798140918073877,1.9464860148899474
5219248485.0789995,43,5313600000.0,-0.044562213122844696,0.10840904712677002,-18.620666142631713,1.9607974430124726
5219248485.0789995,44,5313800000.0,-0.04834189638495445,0.10794981569051743,-18.541791298623483,1.9918344182747305
5219248485.0789995,45,5314000000.0,-0.04912528395652771,0.10796201229095459,-18.517340038484274,1.9978201767780792
5219248485.0789995,46,5314200000.0,-0.04866199940443039,0.10532789677381516,-18.708918324543504,2.00358852221938
5219248485.0789995,47,5314400000.0,-0.04602627083659172,0.10892385244369507,-18.54405132379684,1.9705938448117293
5219248485.0789995,48,5314600000.0,-0.045211467891931534,0.10768191516399384,-18.65202451519202,1.968306402546913
5219248485.0789995,49,5314800000.0,-0.04149959981441498,0.10963369905948639,-18.619574904347186,1.9326578408897752
5219248485.0789995,50,5315000000.0,-0.045611344277858734,0.10866982489824295,-18.573125883690924,1.9681897647787368
5219248485.0789995,51,5315200000.0,-0.04453429579734802,0.11096315085887909,-18.44781682901248,1.9524600187900478
5219248485.0789995,52,5315400000.0,-0.04608197510242462,0.10913097858428955,-18.528457945797495,1.9703464338045655
5219248485.0789995,53,5315600000.0,-0.049130018800497055,0.10708656907081604,-18.575701093701397,2.000934168799289
5219248485.0789995,54,5315800000.0,-0.050820913165807724,0.10625189542770386,-18.578537036958934,2.0169385589145383
5219248485.0789995,55,5316000000.0,-0.0477144755423069,0.10840318351984024,-18.53006677003886,1.9854351574570124
5219248485.0789995,56,5316200000.0,-0.04566292464733124,0.10621011257171631,-18.74008593257592,1.9768353939053953
5219248485.0789995,57,5316400000.0,-0.045465726405382156,0.1068931370973587,-18.698826272388448,1.9729533334745692
5219248485.0789995,58,5316600000.0,-0.04501757025718689,0.10713224858045578,-18.695407765540427,1.9685990717140749
5219248485.0789995,59,5316800000.0,-0.04713817685842514,0.10611292719841003,-18.702469323380793,1.9888386673065548
5219248485.0789995,60,5317000000.0,-0.04461465775966644,0.10625036060810089,-18.76814783402604,1.968340361038595
5219248485.0789995,61,5317200000.0,-0.0472329743206501,0.10652829706668854,-18.671247936816027,1.9881350320748146
5219248485.0789995,62,5317400000.0,-0.0494832880795002,0.10675171762704849,-18.58721939643428,2.0048497857231036
5219248485.0789995,63,5317600000.0,-0.048607178032398224,0.10980002582073212,-18.410737909363093,1.9875531633336665
5219248485.0789995,64,5317800000.0,-0.050799693912267685,0.10897042602300644,-18.39977017292568,2.007022727001367
5219248485.0789995,65,5318000000.0,-0.048361215740442276,0.10896939784288406,-18.473100622486406,1.9884869602781297
5219248485.0789995,66,5318200000.0,-0.04971662536263466,0.10809159278869629,-18.490737038334753,2.0018930144593305
5219248485.0789995,67,5318400000.0,-0.04659397155046463,0.1081821396946907,-18.577866173563013,1.9774844094458945
5219248485.0789995,68,5318600000.0,-0.04518212750554085,0.10861728340387344,-18.588909317454643,1.9649983689934025
5219248485.0789995,69,5318800000.0,-0.04725326597690582,0.10621313005685806,-18.692128671974007,1.9893934940888354
5219248485.0789995,70,5319000000.0,-0.04709526523947716,0.10715571790933609,-18.63269545984151,1.9848867826860368
5219248485.0789995,71,5319200000.0,-0.04884568229317665,0.1078554317355156,-18.532924181080798,1.996043560221525
5219248485.0789995,72,5319400000.0,-0.04926352575421333,0.10654560476541519,-18.607866852355997,2.0038896642414894
5219248485.0789995,73,5319600000.0,-0.046412933617830276,0.10842759907245636,-18.566508702360906,1.9752514086761248
5219248485.0789995,74,5319800000.0,-0.04661019146442413,0.10831958055496216,-18.568089719362476,1.9771496930272705
5219248485.0789995,75,5320000000.0,-0.048365071415901184,0.106984943151474,-18.605945466463766,1.995373345068256
5219248485.0789995,76,5320200000.0,-0.04929732531309128,0.10835099220275879,-18.486251296699734,1.9977822989357097
5219248485.0789995,77,5320400000.0,-0.04847031086683273,0.1067023053765297,-18.62179146082741,1.9971850565199787
5219248485.0789995,78,5320600000.0,-0.04752327501773834,0.10920963436365128,-18.481643557933403,1.9812380177409974
5219248485.0789995,79,5320800000.0,-0.0474272184073925,0.10744377225637436,-18.603253557203814,1.986487493118297
5219248485.0789995,80,5321000000.0,-0.05089341476559639,0.10986161231994629,-18.338745163529076,2.0046143300872123
5219248485.0789995,81,5321200000.0,-0.046138036996126175,0.10878092050552368,-18.55052144737939,1.9719359632183362
5219248485.0789995,82,5321400000.0,-0.04667573422193527,0.10760389268398285,-18.614692580653138,1.9800748097941467
5219248485.0789995,83,5321600000.0,-0.04760655015707016,0.10883715003728867,-18.504142374677095,1.983131937226986
5219248485.0789995,84,5321800000.0,-0.047168850898742676,0.1070469543337822,-18.637884919310117,1.9858367719518428
5219248485.0789995,85,5322000000.0,-0.046223223209381104,0.10641244798898697,-18.70948633825311,1.9805833093176777
5219248485.0789995,86,5322200000.0,-0.04702015966176987,0.10713521391153336,-18.636330520762737,1.9843696181240955
5219248485.0789995,87,5322400000.0,-0.048868123441934586,0.10870296508073807,-18.475762470078095,1.9932813684943163
5219248485.0789995,88,5322600000.0,-0.0467086024582386,0.10828934609889984,-18.567266989423292,1.9780175371866617
5219248485.0789995,89,5322800000.0,-0.047036994248628616,0.10732612758874893,-18.622859250689107,1.983846411387318
5219248485.0789995,90,5323000000.0,-0.048630695790052414,0.10596912354230881,-18.666399646265592,2.0010382178415465
5219248485.0789995,91,5323200000.0,-0.04990660026669502,0.10737294703722,-18.532638039978032,2.005886897598665
5219248485.0789995,92,5323400000.0,-0.04707568511366844,0.10626380890607834,-18.69405179575819,1.9878202575571966
5219248485.0789995,93,5323600000.0,-0.04526783153414726,0.10842902213335037,-18.599312057184193,1.9662872018918363
5219248485.0789995,94,5323800000.0,-0.047624360769987106,0.106220543384552,-18.680323860056305,1.9922802444610723
5219248485.0789995,95,5324000000.0,-0.04726813733577728,0.10807924717664719,-18.56504290397111,1.9830783634142832
5219248485.0789995,96,5324200000.0,-0.047985777258872986,0.10948840528726578,-18.449572646467548,1.9838551322684819
5219248485.0789995,97,5324400000.0,-0.05078989267349243,0.10789737850427628,-18.470558926612014,2.0107501076117202
5219248485.0789995,98,5324600000.0,-0.04728887975215912,0.10915301740169525,-18.492245511606217,1.9796211511327224
5219248485.0789995,99,5324800000.0,-0.047162849456071854,0.1107722669839859,-18.387868887570825,1.9733139567666125
5219248485.0789995,100,5325000000.0,-0.04863491281867027,0.10778774321079254,-18.5438248796583,1.9946560742877804
5219248485.0789995,101,5325200000.0,-0.04574217647314072,0.10576187819242477,-18.768699004057837,1.9790036597603184
5219248485.0789995,102,5325400000.0,-0.04762794449925423,0.1047738790512085,-18.77915681135919,1.997451141081224
5219248485.0789995,103,5325600000.0,-0.048693541437387466,0.10851702839136124,-18.49335449120647,1.9925836101122576
5219248485.0789995,104,5325800000.0,-0.0491047278046608,0.1081371009349823,-18.50629776342218,1.997052051980526
5219248485.0789995,105,5326000000.0,-0.047329746186733246,0.10834398865699768,-18.545386601913734,1.9826585434328592
5219248485.0789995,106,5326200000.0,-0.04846584424376488,0.10839919000864029,-18.5080175699601,1.99124034972114
5219248485.0789995,107,5326400000.0,-0.0479767881333828,0.1074753850698471,-18.584646117493335,1.9906507242578715
5219248485.0789995,108,5326600000.0,-0.04906972497701645,0.10621535032987595,-18.636111907547456,2.0035708144766757
5219248485.0789995,109,5326800000.0,-0.045474618673324585,0.10794330388307571,-18.6265545471385,1.9695139602166718
5219248485.0789995,110,5327000000.0,-0.04926803708076477,0.10798649489879608,-18.51137630919667,1.9988294424519728
5219248485.0789995,111,5327200000.0,-0.052249521017074585,0.10714757442474365,-18.47387121849341,2.024507720490476
5219248485.0789995,112,5327400000.0,-0.04780669882893562,0.10699357092380524,-18.622312697936636,1.9910013047084212
5219248485.0789995,113,5327600000.0,-0.048332735896110535,0.10859763622283936,-18.498732077027448,1.9895366494813127
5219248485.0789995,114,5327800000.0,-0.04355804622173309,0.10982275009155273,-18.551662325919708,1.9483866762538091
5219248485.0789995,115,5328000000.0,-0.049862608313560486,0.10719428211450577,-18.54589333895678,2.006186436206989
5219248485.0789995,116,5328200000.0,-0.047153498977422714,0.10782560706138611,-18.585560589166285,1.9830494831918442
5219248485.0789995,117,5328400000.0,-0.04705791920423508,0.10691606998443604,-18.650107441733034,1.985419548583586
5219248485.0789995,118,5328600000.0,-0.04586081951856613,0.1092551201581955,-18.526361077389087,1.9682194347897457
5219248485.0789995,119,5328800000.0,-0.04851087927818298,0.10713858902454376,-18.591155639679883,1.9959648779677266
5219248485.0789995,120,5329000000.0,-0.04689297080039978,0.10660283267498016,-18.676405672734738,1.9852067223827428
5219248485.0789995,121,5329200000.0,-0.041621677577495575,0.10980654507875443,-18.604407291370613,1.9331090173128782
5219248485.0789995,122,5329400000.0,-0.04713621363043785,0.10773537307977676,-18.592176006988698,1.9832222556723689
5219248485.0789995,123,5329600000.0,-0.04460786655545235,0.10953174531459808,-18.542734071841636,1.9575453635715467
5219248485.0789995,124,5329800000.0,-0.04517904669046402,0.106560118496418,-18.730182114514854,1.9718002233483172
5219248485.0789995,125,5330000000.0,-0.04557095095515251,0.10860335826873779,-18.57879673385099,1.9680919363959255
5219248485.0789995,126,5330200000.0,-0.04665962606668472,0.10734167695045471,-18.632998383411145,1.980840078937181
5219248485.0789995,127,5330400000.0,-0.044533368200063705,0.10925991088151932,-18.56331157300312,1.9578295851869085
5219248485.0789995,128,5330600000.0,-0.04681791365146637,0.10909844934940338,-18.509537558831266,1.9761637541385921
5219248485.0789995,129,5330800000.0,-0.04636118933558464,0.10832066088914871,-18.575252649617738,1.9752048369638604
5219248485.0789995,130,5331000000.0,-0.045315004885196686,0.10751986503601074,-18.660151774102413,1.9696622385648739
5219248485.0789995,131,5331200000.0,-0.04344797879457474,0.1066843643784523,-18.771526264131555,1.9575432391468406
5219248485.0789995,132,5331400000.0,-0.04472123086452484,0.10718324780464172,-18.700448085028437,1.9660766031934267
5219248485.0789995,133,5331600000.0,-0.04947679862380028,0.10683392733335495,-18.581915994457887,2.0045061219798885
5219248485.0789995,134,5331800000.0,-0.046967387199401855,0.10447904467582703,-18.820063795453457,1.9932666749759422
5219248485.0789995,135,5332000000.0,-0.04527261480689049,0.10836374759674072,-18.603629445898743,1.9665389186741309
5219248485.0789995,136,5332200000.0,-0.0441187247633934,0.10918185859918594,-18.580130960524823,1.954819078396338
5219248485.0789995,137,5332400000.0,-0.04422098025679588,0.10702014714479446,-18.72609860538415,1.9626320078661204
5219248485.0789995,138,5332600000.0,-0.04408096894621849,0.10810823738574982,-18.654874859970622,1.9579645254161575
5219248485.0789995,139,5332800000.0,-0.04610436409711838,0.10646705329418182,-18.709276499189023,1.9794561519114549
5219248485.0789995,140,5333000000.0,-0.04718858003616333,0.10739599168300629,-18.61360700411891,1.9847908977913797
5219248485.0789995,141,5333200000.0,-0.043294280767440796,0.10779142379760742,-18.6987906248068,1.952723152760238
5219248485.0789995,142,5333400000.0,-0.04519098624587059,0.11004195362329483,-18.49198850209678,1.9604674483702393
5219248485.0789995,143,5333600000.0,-0.04710870608687401,0.10976434499025345,-18.45653895826507,1.9762024800873934
5219248485.0789995,144,5333800000.0,-0.045111916959285736,0.10929859429597855,-18.544534466754296,1.9622371078145797
5219248485.0789995,145,5334000000.0,-0.04303041473031044,0.11055941134691238,-18.51551595574447,1.9419632628724888
5219248485.0789995,146,5334200000.0,-0.04592705890536308,0.10951143503189087,-18.50717776238635,1.9678983603889368
5219248485.0789995,147,5334400000.0,-0.0462067574262619,0.10596559941768646,-18.740709200091345,1.9819927014885923
5219248485.0789995,148,5334600000.0,-0.04735005646944046,0.10774676501750946,-18.58506541612848,1.984848077917733
5219248485.0789995,149,5334800000.0,-0.04837841913104057,0.10794667154550552,-18.540905521059226,1.992127068053647
5219248485.0789995,150,5335000000.0,-0.04585004597902298,0.10755442082881927,-18.64225761929244,1.9737643948365846
5219448485.0789995,0,5305000000.0,-0.04423848167061806,0.10681234300136566,-18.74001146583779,1.9634583335508702
5219448485.0789995,1,5305200000.0,-0.04276711866259575,0.11096318811178207,-18.494936029672232,1.9386684411406712
5219448485.0789995,2,5305400000.0,-0.041827429085969925,0.1091110110282898,-18.647163564749313,1.936865160568434
5219448485.0789995,3,5305600000.0,-0.04285125806927681,0.10775163769721985,-18.71386036576608,1.949305807415089
5219448485.0789995,4,5305800000.0,-0.04542513191699982,0.10823262482881546,-18.60821898866188,1.9681684844591336
5219448485.0789995,5,5306000000.0,-0.04840237647294998,0.11026998609304428,-18.385643165611256,1.9844183491787526
5219448485.0789995,6,5306200000.0,-0.04497736319899559,0.11003310233354568,-18.498502523723438,1.9588333519233683
5219448485.0789995,7,5306400000.0,-0.04637880250811577,0.10789891332387924,-18.603359483042038,1.9767556963482724
5219448485.0789995,8,5306600000.0,-0.04543039947748184,0.10928736627101898,-18.536347299057784,1.964760696845055
5219448485.0789995,9,5306800000.0,-0.04259064421057701,0.10929499566555023,-18.61401796242058,1.9423791469733496
5219448485.0789995,10,5307000000.0,-0.04465923830866814,0.10729829221963882,-18.694291688712966,1.9652031651363064
5219448485.0789995,11,5307200000.0,-0.043222811073064804,0.10973424464464188,-18.56678619693203,1.9460211517677686
5219448485.0789995,12,5307400000.0,-0.04396286979317665,0.11294832825660706,-18.329764665500274,1.941983820110056
5219448485.0789995,13,5307600000.0,-0.044594816863536835,0.11141175776720047,-18.415989822682803,1.9515356929178367
5219448485.0789995,14,5307800000.0,-0.04591101035475731,0.11064935475587845,-18.431147917971277,1.9641011705658444
5219448485.0789995,15,5308000000.0,-0.04540780559182167,0.11186499893665314,-18.363721642809335,1.9563923744842058
5219448485.0789995,16,5308200000.0,-0.04591624066233635,0.11080038547515869,-18.42089331363478,1.9636588529661638
5219448485.0789995,17,5308400000.0,-0.04814230650663376,0.11098948866128922,-18.34567265109374,1.980059567256385
5219448485.0789995,18,5308600000.0,-0.04439399763941765,0.11043725907802582,-18.487155085277976,1.953011772414988
5219448485.0789995,19,5308800000.0,-0.04302940517663956,0.10932896286249161,-18.599839804097467,1.945753717510087
5219448485.0789995,20,5309000000.0,-0.042971737682819366,0.11059430241584778,-18.514692205138083,1.941395737485882
5219448485.0789995,21,5309200000.0,-0.042147714644670486,0.10994521528482437,-18.58099540131928,1.9368690897129375
5219448485.0789995,22,5309400000.0,-0.0431690439581871,0.10953326523303986,-18.582022234148074,1.9462218513388814
5219448485.0789995,23,5309600000.0,-0.04489673301577568,0.10930609703063965,-18.550044826196775,1.9605296147934996
5219448485.0789995,24,5309800000.0,-0.04306266829371452,0.10948611050844193,-18.588136490116547,1.9455276192864737
5219448485.0789995,25,5310000000.0,-0.045049577951431274,0.10922329872846603,-18.55139673872034,1.9619925277690242
5219448485.0789995,26,5310200000.0,-0.04461439326405525,0.10904718190431595,-18.575563453334016,1.9591479006899912
5219448485.0789995,27,5310400000.0,-0.042662009596824646,0.10989771783351898,-18.570615845569282,1.941086835504001
5219448485.0789995,28,5310600000.0,-0.041914552450180054,0.1096857413649559,-18.605052905725362,1.935805962071227
5219448485.0789995,29,5310800000.0,-0.039604999125003815,0.1097206324338913,-18.6623208922365,1.9172034379330278
5219448485.0789995,30,5311000000.0,-0.04065456986427307,0.10915354639291763,-18.67506868162335,1.9273321756626967
5219448485.0789995,31,5311200000.0,-0.03970462083816528,0.11077278852462769,-18.586421878149185,1.9149639818663828
5219448485.0789995,32,5311400000.0,-0.03824928402900696,0.11161823570728302,-18.563096547937,1.9009347383512087
5219448485.0789995,33,5311600000.0,-0.032256558537483215,0.1127043142914772,-18.61926416161195,1.8495497724136918
5219448485.0789995,34,5311800000.0,-0.019476037472486496,0.11232980340719223,-18.86146830984702,1.7424722598672613
5219448485.0789995,35,5312000000.0,-0.007889498956501484,0.11150360107421875,-19.0325340813347,1.6414341575701203
