power,frequency,amplitude,phase,I,Q
17.0,5345000000.0,0.1288516259968748,-0.5739808684872776,0.10820265114307404,-0.06996376067399979
17.0,5345150273.224044,0.12841681223290857,-0.5624017853351874,0.10863765329122543,-0.06847435981035233
17.0,5345300546.448088,0.12981427083034822,-0.5750910115578572,0.10893271118402481,-0.07060743123292923
17.0,5345450819.672132,0.12879408019065167,-0.5657480503243991,0.1087263971567154,-0.0690397396683693
17.0,5345601092.896174,0.13022568101616994,-0.5566609934480158,0.11056473106145859,-0.06880529224872589
17.0,5345751366.120218,0.12919151199206488,-0.5606890110872961,0.109410859644413,-0.0687001496553421
17.0,5345901639.344262,0.12859515493263862,-0.563201533319837,0.1087336540222168,-0.06865643709897995
17.0,5346051912.568306,0.1286705895329226,-0.568324943340809,0.10844404995441437,-0.06925322115421295
17.0,5346202185.79235,0.1299313871319565,-0.5522976362758432,0.11061336100101471,-0.0681678056716919
17.0,5346352459.016394,0.1300206933332969,-0.560027126441921,0.11015882343053818,-0.06906818598508835
17.0,5346502732.2404375,0.12664445432047725,-0.5601208038336349,0.10729203373193741,-0.06728474795818329
17.0,5346653005.46448,0.12832174861337015,-0.561855251740507,0.108594611287117,-0.06836432963609695
17.0,5346803278.688524,0.13100540434564,-0.5621527885984211,0.1108449324965477,-0.06982704997062683
17.0,5346953551.912568,0.13025607859063607,-0.559299207126621,0.11040858924388885,-0.0691128745675087
17.0,5347103825.136612,0.1274426732224219,-0.5657706112453278,0.10758401453495026,-0.06831774860620499
17.0,5347254098.360656,0.13028107511468656,-0.5668744958662203,0.10990296304225922,-0.06996068358421326
17.0,5347404371.5847,0.12906920557183926,-0.5713418153178342,0.10856993496417999,-0.069795623421669
17.0,5347554644.8087435,0.12882245328928943,-0.5702672674222052,0.10843716561794281,-0.06954570859670639
17.0,5347704918.032787,0.12705661760968887,-0.5712108408935895,0.10688599199056625,-0.06869329512119293
17.0,5347855191.25683,0.12655623800280258,-0.5742743628393683,0.1062549352645874,-0.0687486007809639
17.0,5348005464.480874,0.12815622039626304,-0.5866610034354748,0.10672769695520401,-0.07094515860080719
