power,frequency,amplitude,phase,I,Q
17.0,5345000000.0,0.12858588547668023,-0.5668883165476843,0.10847197473049164,-0.06905186921358109
17.0,5345150273.224044,0.1299166602389132,-0.5609051815415631,0.1100100427865982,-0.06910954415798187
17.0,5345300546.448088,0.12957470856816292,-0.5602793890982918,0.10976359993219376,-0.06885896623134613
17.0,5345450819.672132,0.12918907228308996,-0.5593653251184403,0.10949963331222534,-0.06855396926403046
17.0,5345601092.896174,0.12933105602099873,-0.5579282965445218,0.10971848666667938,-0.06847171485424042
17.0,5345751366.120218,0.128715103462158,-0.5503450570331612,0.10970956087112427,-0.06731560081243515
17.0,5345901639.344262,0.12956409416307424,-0.557923048308135,0.10991654545068741,-0.06859451532363892
17.0,5346051912.568306,0.12921263720623063,-0.5776614181484437,0.10824684798717499,-0.07055866718292236
17.0,5346202185.79235,0.128740728338181,-0.5673788787717496,0.10856866836547852,-0.06918828934431076
17.0,5346352459.016394,0.13018816335319328,-0.5579512953366751,0.11044403165578842,-0.06892803311347961
17.0,5346502732.2404375,0.12893196446024804,-0.5752094342673508,0.10818402469158173,-0.07014034688472748
17.0,5346653005.46448,0.1273401059308831,-0.5628240192361953,0.10769810527563095,-0.06794571876525879
17.0,5346803278.688524,0.13012704469394035,-0.5613771546591144,0.11015550792217255,-0.0692734569311142
17.0,5346953551.912568,0.1302706941202479,-0.5547537160995761,0.11073402315378189,-0.06861799955368042
17.0,5347103825.136612,0.12756095716790572,-0.5607176668280254,0.10802801698446274,-0.06783616542816162
17.0,5347254098.360656,0.12835760259927484,-0.5775836101502557,0.10753600299358368,-0.07008339464664459
17.0,5347404371.5847,0.1283669321386478,-0.5809103728321657,0.10731005668640137,-0.07044587284326553
17.0,5347554644.8087435,0.12990185356728504,-0.5756820274219402,0.10896442830562592,-0.07071948051452637
17.0,5347704918.032787,0.12781976882639792,-0.5785009726258941,0.10702134668827057,-0.06988794356584549
17.0,5347855191.25683,0.12820169418747862,-0.5691928144491996,0.10798893868923187,-0.06909459829330444
17.0,5348005464.480874,0.1279880523305148,-0.5798359234760585,0.107068732380867,-0.07012294977903366
17.0,5348155737.704918,0.12846680342599115,-0.5807303384743886,0.10740623623132706,-0.07048134505748749
17.0,5348306010.928962,0.12817297230915256,-0.5867907200705422,0.10673244297504425,-0.07096827775239944
17.0,5348456284.153006,0.1296020764277397,-0.5904138999473928,0.10766178369522095,-0.07215011119842529
17.0,5348606557.377049,0.12655550660505835,-0.5745263483773563,0.10623699426651001,-0.06877497583627701
17.0,5348756830.601093,0.12915776870300238,-0.5752655145843538,0.10836955159902573,-0.07026926428079605
17.0,5348907103.825136,0.1261677033526947,-0.595766037521246,0.1044313907623291,-0.0707981213927269
17.0,5349057377.04918,0.12902715312554566,-0.5754984116545646,0.10824360698461533,-0.07022341340780258
17.0,5349207650.273224,0.12874877836757062,-0.5998813673610485,0.10626957565546036,-0.07268442213535309
17.0,5349357923.497268,0.12725088963052528,-0.5617279024151955,0.1076970100402832,-0.06778010725975037
17.0,5349508196.721312,0.12717999335311778,-0.5791781081640734,0.10643856227397919,-0.06961022317409515
17.0,5349658469.945355,0.12440468787143258,-0.6106377184303161,0.10192258656024933,-0.0713324099779129
17.0,5349808743.169399,0.12514269548171464,-0.6299671152481563,0.10112116485834122,-0.07372383773326874
17.0,5349959016.393442,0.12484926999760924,-0.6190449407169987,0.10168136656284332,-0.07244473695755005
17.0,5350109289.617486,0.12671988471518447,-0.6126126541789818,0.10367568582296371,-0.07286481559276581
17.0,5350259562.84153,0.12827956410499586,-0.5979985997242964,0.10601844638586044,-0.07222004979848862
17.0,5350409836.065574,0.12661377076866773,-0.6181970350853481,0.10318069159984589,-0.07338114082813263
17.0,5350560109.289618,0.1264023498755424,-0.6084093508726454,0.10372048616409302,-0.07224690169095993
17.0,5350710382.513661,0.1248944959803926,-0.6319625505600597,0.10077358782291412,-0.07377885282039642
17.0,5350860655.737705,0.12567119552779016,-0.6169140931657957,0.10250592231750488,-0.07270340621471405
17.0,5351010928.961749,0.12461717358847105,-0.6400034464585082,0.09995464980602264,-0.07442115247249603
17.0,5351161202.185792,0.12400548204836766,-0.6829352579662821,0.09619399160146713,-0.07825647294521332
17.0,5351311475.409836,0.12246969369588613,-0.6965878853385563,0.09393864870071411,-0.07857707142829895
17.0,5351461748.63388,0.12258434290295496,-0.6933137684304354,0.09428359568119049,-0.07834235578775406
17.0,5351612021.8579235,0.12235010784556975,-0.7308513239230264,0.09110267460346222,-0.0816691592335701
17.0,5351762295.081967,0.12288235361387491,-0.7271313440725696,0.09180348366498947,-0.08168349415063858
17.0,5351912568.306011,0.12224180033985103,-0.7296430136663002,0.09112055599689484,-0.08148682117462158
17.0,5352062841.530055,0.12334735431108691,-0.7305892405372573,0.09186680614948273,-0.082310751080513
17.0,5352213114.754098,0.12141176512246425,-0.7293101619890275,0.09052877128124237,-0.08090338855981827
17.0,5352363387.978142,0.12140635000470046,-0.7197961058821073,0.09129031002521515,-0.08003487437963486
17.0,5352513661.202186,0.12363117938889932,-0.7274768045421187,0.09233452379703522,-0.08221316337585449
17.0,5352663934.4262295,0.120558568786228,-0.7312986450972602,0.08973267674446106,-0.08051344752311707
17.0,5352814207.650273,0.12128023622335614,-0.7153141155814712,0.09155290573835373,-0.07954219728708267
17.0,5352964480.874317,0.12222106910596194,-0.7230511987959292,0.0916401743888855,-0.08087068796157837
17.0,5353114754.098361,0.1211068626424206,-0.7342675511773153,0.08990025520324707,-0.08114688098430634
17.0,5353265027.322404,0.12303827062037206,-0.73378612874809,0.09137365967035294,-0.08239702880382538
17.0,5353415300.546448,0.1212687475090042,-0.7119256599793087,0.09181320667266846,-0.07922401279211044
17.0,5353565573.770492,0.1243087293391774,-0.6843407048507679,0.09631887823343277,-0.07858329266309738
17.0,5353715846.994535,0.1224038742326143,-0.6848628261414367,0.09480251371860504,-0.07742862403392792
17.0,5353866120.218579,0.12349742439823122,-0.6569943727610915,0.09778914600610733,-0.07542477548122406
17.0,5354016393.442623,0.12609763281400724,-0.6555602001088612,0.09995841979980469,-0.07686954736709595
17.0,5354166666.666667,0.12549358890591217,-0.6441347670759565,0.100347138941288,-0.0753597542643547
17.0,5354316939.890711,0.1251236737286856,-0.6161534549134896,0.10211435705423355,-0.07230900228023529
17.0,5354467213.114754,0.12572403285363318,-0.5954978053816741,0.10408307611942291,-0.07052124291658401
17.0,5354617486.338798,0.12766450682708846,-0.5972164435944035,0.10556630790233612,-0.07179123163223267
17.0,5354767759.562841,0.12748846308369954,-0.587764336000308,0.10609365999698639,-0.07069259881973267
17.0,5354918032.786885,0.12800592347900117,-0.5673974289583477,0.10794772207736969,-0.06879539042711258
17.0,5355068306.010929,0.1283511546785317,-0.5845502827453575,0.10703977197408676,-0.07082729786634445
17.0,5355218579.234973,0.12819968233249335,-0.5778104577629346,0.10738781839609146,-0.07002153247594833
17.0,5355368852.459017,0.1288075338135292,-0.5712956112877483,0.10835304111242294,-0.0696491152048111
17.0,5355519125.68306,0.13006518942367656,-0.5685339421027032,0.10960479080677032,-0.07002673298120499
17.0,5355669398.907104,0.12812242011419314,-0.5596700821102004,0.10857482254505157,-0.06802104413509369
17.0,5355819672.131147,0.12822329726577275,-0.5652608820436406,0.10827802121639252,-0.0686810314655304
17.0,5355969945.355191,0.12713637827805807,-0.5739061195545335,0.106767438352108,-0.06902443617582321
17.0,5356120218.579235,0.12962358660544387,-0.5555796683061026,0.1101275309920311,-0.06836812943220139
17.0,5356270491.803279,0.12824577800382223,-0.55191961008603,0.10920379310846329,-0.06724218279123306
17.0,5356420765.027323,0.12906524111164502,-0.5683067815281053,0.10877792537212372,-0.06946365535259247
17.0,5356571038.251366,0.12763462484027624,-0.5742845316709216,0.10715962946414948,-0.06933549791574478
17.0,5356721311.4754095,0.12798095536662116,-0.588005057785595,0.10648641735315323,-0.07099132239818573
17.0,5356871584.699453,0.1254222378972884,-0.6113936083511136,0.10270185768604279,-0.07199351489543915
17.0,5357021857.923497,0.12394882034534398,-0.6510773908336174,0.09859277307987213,-0.07511840760707855
17.0,5357172131.147541,0.12451796766018787,-0.6968674684029894,0.09548740833997726,-0.07991795241832733
17.0,5357322404.371585,0.12155439033602326,-0.7503028950083611,0.0889148935675621,-0.08288311958312988
17.0,5357472677.595629,0.12102842897790024,-0.7605381115013035,0.087680883705616,-0.08342627435922623
17.0,5357622950.819673,0.12195247427994756,-0.7443122760681461,0.08970262855291367,-0.08261866867542267
17.0,5357773224.0437155,0.12262744836403192,-0.7352675429275809,0.09094680845737457,-0.0822567269206047
17.0,5357923497.267759,0.12276415174991297,-0.6907406266969823,0.09462346136569977,-0.07821404933929443
17.0,5358073770.491803,0.12317219263639491,-0.6786272403873164,0.09588156640529633,-0.07731826603412628
17.0,5358224043.715847,0.1233309245062443,-0.6487136483072546,0.09827768057584763,-0.07451184093952179
17.0,5358374316.939891,0.12543039630150415,-0.6202295577958343,0.10206836462020874,-0.07290290296077728
17.0,5358524590.163935,0.12731331694150486,-0.611411268028374,0.10424907505512238,-0.07308085262775421
17.0,5358674863.387979,0.12855080705082136,-0.5972653157777071,0.10629566013813019,-0.07229483127593994
17.0,5358825136.612021,0.12592432682394936,-0.5879835679378352,0.10477670282125473,-0.06984825432300568
17.0,5358975409.836065,0.12728327629000463,-0.572033272511342,0.10702003538608551,-0.06890387833118439
17.0,5359125683.060109,0.1276272593282405,-0.5912728775328618,0.10596021264791489,-0.07114176452159882
17.0,5359275956.284153,0.1291603173733848,-0.5701078712044684,0.1087326779961586,-0.06971077620983124
17.0,5359426229.508197,0.1256986385460566,-0.5739034150163074,0.10556022822856903,-0.06824357807636261
17.0,5359576502.732241,0.1271793838986896,-0.567014944620986,0.10727683454751968,-0.06831014901399612
17.0,5359726775.9562845,0.1288988187684094,-0.5675684522440234,0.1086888536810875,-0.06929385662078857
17.0,5359877049.180327,0.12809748882940292,-0.5629040487204925,0.10833319276571274,-0.06835851073265076
17.0,5360027322.404371,0.12823565338252144,-0.5675014453537929,0.10813428461551666,-0.06893010437488556
17.0,5360177595.628415,0.12840214802319086,-0.5726579041425921,0.10791734606027603,-0.06957699358463287
17.0,5360327868.852459,0.12911358136881473,-0.5518634122911168,0.10994654893875122,-0.06769101321697235
17.0,5360478142.076503,0.1285601681917098,-0.5574111382336533,0.10909968614578247,-0.06800717115402222
