frequency,frequency,amplitude,phase,I,Q
5210000000.0,5345000000.0,0.12872012229354646,-0.5469631974784901,0.10994087159633636,-0.06694680452346802
5210000000.0,5345250000.0,0.12882038835654727,-0.53753388290273,0.1106533631682396,-0.06595851480960846
5210000000.0,5345500000.0,0.129487727817195,-0.5357368877218381,0.1113455519080162,-0.06610022485256195
5210000000.0,5345750000.0,0.12894496778168227,-0.5422098379046807,0.11045044660568237,-0.06653948873281479
5210000000.0,5346000000.0,0.1280711209054599,-0.5490527351000996,0.1092471331357956,-0.06683768332004547
5210000000.0,5346250000.0,0.12889138015207516,-0.5377178317187511,0.11070220172405243,-0.06601522862911224
5210000000.0,5346500000.0,0.13207680703505553,-0.5410052659527033,0.11321510374546051,-0.06801928579807281
5210000000.0,5346750000.0,0.12737375714653423,-0.5307218196483987,0.10985247045755386,-0.06447099149227142
5210000000.0,5347000000.0,0.12884026255147868,-0.527017271949028,0.11135806888341904,-0.0648011863231659
5210000000.0,5347250000.0,0.1295003594083053,-0.5399594768792649,0.11107628047466278,-0.06657629460096359
5210000000.0,5347500000.0,0.13149996804002514,-0.5357569067195707,0.11307451874017715,-0.06712968647480011
5210000000.0,5347750000.0,0.130592994352141,-0.5384336238591299,0.112115778028965,-0.06696702539920807
5210000000.0,5348000000.0,0.12823105732218948,-0.5401306480610242,0.10997627675533295,-0.06594257056713104
5210000000.0,5348250000.0,0.12841800954456764,-0.543025229031092,0.10994499921798706,-0.06635723263025284
5210000000.0,5348500000.0,0.12998414615536835,-0.5408741153672604,0.11143007129430771,-0.06692695617675781
5210000000.0,5348750000.0,0.12850099007163204,-0.5508629689699163,0.1094922423362732,-0.06726033985614777
5210000000.0,5349000000.0,0.1287569850967069,-0.5899505346026019,0.10699295997619629,-0.0716300755739212
5210000000.0,5349250000.0,0.12615752945106634,-0.6423626521841799,0.10101213306188583,-0.07557956874370575
5210000000.0,5349500000.0,0.12085529419124987,-0.8163229553762977,0.08277440071105957,-0.08805907517671585
5210000000.0,5349750000.0,0.12278099873657639,-0.9947018044785039,0.0668853148818016,-0.10296372324228287
5210000000.0,5350000000.0,0.12086726932944795,-0.9392110394608963,0.07136305421590805,-0.09755107015371323
5210000000.0,5350250000.0,0.12323252859628878,-0.7297632660554267,0.0918491780757904,-0.08215828984975815
5210000000.0,5350500000.0,0.12603425523083847,-0.5942534047528071,0.10442779213190079,-0.0705653578042984
5210000000.0,5350750000.0,0.12826270908747542,-0.5618855670680282,0.10854257643222809,-0.06833616644144058
5210000000.0,5351000000.0,0.12834387956284768,-0.5481738101326388,0.10953862965106964,-0.06688378006219864
5210000000.0,5351250000.0,0.13050433074379533,-0.5536595015334584,0.11100777238607407,-0.06861963868141174
5210000000.0,5351500000.0,0.13053904490040552,-0.5333363636062427,0.11240921169519424,-0.0663672462105751
5210000000.0,5351750000.0,0.1288515235675132,-0.5225406636741015,0.1116567999124527,-0.06430765241384506
5210000000.0,5352000000.0,0.12791125503705794,-0.548822760687364,0.10912611335515976,-0.06672915816307068
5210000000.0,5352250000.0,0.12877499496992578,-0.5425470844962763,0.11028243601322174,-0.06648897379636765
5210000000.0,5352500000.0,0.1288593723280401,-0.5433304228840634,0.11030254513025284,-0.06661896407604218
5210000000.0,5352750000.0,0.13006498976945652,-0.532753351243098,0.11203952878713608,-0.06606092303991318
5210000000.0,5353000000.0,0.1299306179920757,-0.5401997353416643,0.11142927408218384,-0.06682426482439041
5210000000.0,5353250000.0,0.12905027018375412,-0.5319035560360573,0.11122109740972519,-0.06545104831457138
5210000000.0,5353500000.0,0.12951137717818406,-0.5491121901130543,0.1104716807603836,-0.06759589165449142
5210000000.0,5353750000.0,0.1278748083913691,-0.5534158774220822,0.10878746211528778,-0.06721052527427673
5210000000.0,5354000000.0,0.12768731951686724,-0.563623228211704,0.1079372763633728,-0.06821727007627487
5210000000.0,5354250000.0,0.1298907176183811,-0.5493070372457096,0.11078204214572906,-0.06781546771526337
5210000000.0,5354500000.0,0.1285735982408851,-0.5523952418307734,0.10945086181163788,-0.0674661323428154
5210000000.0,5354750000.0,0.12987642105475258,-0.5629131921611236,0.10983701795339584,-0.06930883228778839
5210000000.0,5355000000.0,0.1291024978101702,-0.5443297290292529,0.11044390499591827,-0.0668550580739975
5210000000.0,5355250000.0,0.1295956335971338,-0.5523084836360888,0.11032678931951523,-0.06799285113811493
5210000000.0,5355500000.0,0.13057013093030903,-0.5357790528859097,0.11227349191904068,-0.06665749847888947
5210000000.0,5355750000.0,0.12826724857626834,-0.5396583142478516,0.11003845930099487,-0.06590921431779861
5210000000.0,5356000000.0,0.12951291682442603,-0.5482005632348035,0.11053457111120224,-0.06749595701694489
5210000000.0,5356250000.0,0.12856551323057588,-0.5401338543334457,0.1102629080414772,-0.06611491739749908
5210000000.0,5356500000.0,0.13085489138110443,-0.5328065813160007,0.1127164214849472,-0.06646811962127686
5210000000.0,5356750000.0,0.1305976587515519,-0.5306245099475456,0.11263933032751083,-0.06609182804822922
5210000000.0,5357000000.0,0.12830596347696996,-0.5371126591909983,0.11023914813995361,-0.06564868986606598
5210000000.0,5357250000.0,0.12822637071800386,-0.5412590937213372,0.10989777743816376,-0.06606421619653702
5210000000.0,5357500000.0,0.1293440886466239,-0.5349221985033022,0.11127579212188721,-0.06593626737594604
5210000000.0,5357750000.0,0.1314384247117992,-0.5425286543500218,0.11256463825702667,-0.06786207854747772
5210000000.0,5358000000.0,0.1305087206730166,-0.5319139937471896,0.1124773621559143,-0.0661919116973877
5210000000.0,5358250000.0,0.1300173229660791,-0.5215319540411759,0.1127324253320694,-0.06477580219507217
5210000000.0,5358500000.0,0.13144195467992661,-0.5429883499837284,0.11253645271062851,-0.06791564077138901
5210000000.0,5358750000.0,0.12908957601363258,-0.5278477074817977,0.11151959747076035,-0.06501921266317368
5210000000.0,5359000000.0,0.13014471275514677,-0.5358278884299938,0.11190444231033325,-0.06644578278064728
5210000000.0,5359250000.0,0.12978351397634208,-0.529012303170426,0.1120428815484047,-0.06549926102161407
5210000000.0,5359500000.0,0.1299169459992728,-0.5304996841476728,0.11206042766571045,-0.06573335081338882
5210000000.0,5359750000.0,0.12905684611455406,-0.5479154841714617,0.11016450077295303,-0.06722687184810638
5210000000.0,5360000000.0,0.12833775678755743,-0.5449789951363796,0.10974651575088501,-0.06653030961751938
5210000000.0,5360250000.0,0.13080958853076147,-0.5581905056473009,0.1109546422958374,-0.06928358972072601
5210000000.0,5360500000.0,0.12981076867026187,-0.5366879033217216,0.11156026273965836,-0.06637125462293625
5210000000.0,5360750000.0,0.13078841116237996,-0.5412590403214713,0.11209360510110855,-0.06738421320915222
5210000000.0,5361000000.0,0.13024982866013884,-0.5299747406194528,0.11238213628530502,-0.06584279239177704
5210000000.0,5361250000.0,0.12843835469329304,-0.5238569422258955,0.1112142950296402,-0.06424789130687714
5210000000.0,5361500000.0,0.13030060840304247,-0.5241751565266832,0.11280606687068939,-0.0652153342962265
5210000000.0,5361750000.0,0.12999798014743386,-0.5345941488866546,0.11186007410287857,-0.06623291224241257
5210000000.0,5362000000.0,0.1295666705330018,-0.5424398250165534,0.11096759885549545,-0.06688582897186279
5210000000.0,5362250000.0,0.13090591416698394,-0.5238484528791781,0.1133515015244484,-0.0654812604188919
5210000000.0,5362500000.0,0.12844853623691754,-0.5297853866656713,0.11084023863077164,-0.06491123139858246
5210000000.0,5362750000.0,0.12959066203141442,-0.5302773887383925,0.11179356276988983,-0.06554341316223145
5210000000.0,5363000000.0,0.12794729737094102,-0.5356923449655929,0.1100238561630249,-0.06530897319316864
5210000000.0,5363250000.0,0.13012614748352344,-0.5313979966058053,0.11218168586492538,-0.0659400001168251
5210000000.0,5363500000.0,0.12879994558766483,-0.5269765557611279,0.11132586002349854,-0.06477637588977814
5210000000.0,5363750000.0,0.13045822781073682,-0.5345746994250011,0.11225739866495132,-0.06646522134542465
5210000000.0,5364000000.0,0.12880428652269535,-0.5408221115189639,0.11042207479476929,-0.0663137212395668
5210000000.0,5364250000.0,0.13024779110869755,-0.5432159366948873,0.11149872839450836,-0.06732399761676788
5210000000.0,5364500000.0,0.12965668133027564,-0.5237930968167652,0.11227338016033173,-0.06485015898942947
5210000000.0,5364750000.0,0.12905666477051217,-0.5352727751755184,0.11100544780492783,-0.06582866609096527
5210000000.0,5365000000.0,0.13197032884415877,-0.517514789011417,0.11468899250030518,-0.06528861075639725
5210000000.0,5365250000.0,0.13093320679814835,-0.5419346188211961,0.11217210441827774,-0.06753461062908173
5210000000.0,5365500000.0,0.1283952141790169,-0.53733776994718,0.11030104011297226,-0.06571918725967407
5210000000.0,5365750000.0,0.12820301895119945,-0.5260496815851362,0.1108696311712265,-0.0643734335899353
5210000000.0,5366000000.0,0.13166488639254056,-0.5347508179637132,0.11328389495611191,-0.06709993630647659
5210000000.0,5366250000.0,0.1291894933487553,-0.5337679309590064,0.11121873557567596,-0.06572912633419037
5210000000.0,5366500000.0,0.1299799915506743,-0.530347151333952,0.11212483793497086,-0.06574814766645432
5210000000.0,5366750000.0,0.12982413912573984,-0.5118612883268717,0.11318514496088028,-0.0635879710316658
5210000000.0,5367000000.0,0.13018966822204733,-0.5363381516311123,0.1119091659784317,-0.06652584671974182
5210000000.0,5367250000.0,0.13037050637227685,-0.5343269520950562,0.1121983677148819,-0.06639273464679718
5210000000.0,5367500000.0,0.13073110803632051,-0.5412185823620138,0.1120472177863121,-0.06735015660524368
5210000000.0,5367750000.0,0.1293982858423146,-0.5418471592971846,0.11086295545101166,-0.0667332112789154
5210000000.0,5368000000.0,0.13023007487123497,-0.5347560341344126,0.11204904317855835,-0.06636930257081985
